name,score
Johan Södermalm,17
Bolaget,17
Jimmie ÅkessonTM,17
CAROLINA GYNNING,17
JenniferAoun Official Account,17
Civilgranskaren,17
D A N N Y S A U C E D O,17
LEYLA AKSOY,17
Herregud Co,17
Henrik Wahlström,17
Hemmaträning Sandra Friberg,17
Daniel Paris,17
David Sundin,17
DiaLogiskt,17
Elbilsmagasinet,17
Ellie Sandin,17
Emil Renmarker,17
Giocatore,17
Framsteg - Jesper Caron,17
Fredrik Nylén,17
Anna Bergendahl.,17
GATA SWE,17
Alex Schulman,17
Alexandra Rapaport,17
Abir Alsahlani,17
Alice Teodorescu offentlig,17
Alexandra Truedsson,17
Mikaela,16
mustigamauri,16
Simon Lussetti,16
Bobby Oduncu,16
Maxine Nordlindh,16
154,16
Snabb Fakta,16
William Spetz,16
Bulletin,16
Denise och tjejerna,16
Nooshi Dadgostar,16
Swedish Women's National team,16
Mimi Höglin,16
Jonna Sundling,16
Charlotte Perrelli,16
Hanna Friberg,16
Stora Carina,16
Newsner Familj,16
Swedish humor,16
Newsner Djur,16
SwebbTV2,16
Svingoa Grisar,16
Ingrid Maria,16
Hermanoerkano,16
KulPåHjul,16
De Fria,16
Thomas Englund,16
Berts Värld,16
skratta,16
Lilla Aktuellt,16
Vid Din Sida - Sverige,16
Polisen Huddinge,16
Filmfabriken,16
Pitstop,16
Karl Fredrik på Eklaholm,16
Roligaste Klippen,16
Virre CS2,16
expressen,16
Martin Falklind,16
Yazemine Andersson TRÄNING FÖR ATT BLI MER - inte mindre,16
Oskyddat Samtal,16
stinanilssoons,16
Ebba Andersson,16
Sanna Jörnvik Déman,16
Vägen mot skilsmässan,16
lucasstreamonsson,16
DieselLinus,15
Prime Crime,15
Lulle,15
Olof,15
Fotbollsmorgon,15
Familjen Arcombe,15
Glenn Lindberg,15
Paradrätten,15
Roliga Skyltar,15
Sports on Max Sverige,15
Agneta Markku Freedom Living - Vårt Liv Frihet,15
Gilla sidan eller skt i det,15
Spelfred,15
EL Chilli,15
Denice Andree Showroom,15
Liam Mellberg - Kitchen raid,15
Expressen Story,15
L22,15
NZs Garage,15
Lalash,15
Mikael Berggren,15
Carina Bergfeldt,15
TittaPaVideon,15
Barely Running Sverige,15
BANGÅRDEN CUSTOMS,15
Anton och Madde,15
Systrarna Elfstrand,15
Vendela Nilsson,15
Matbibeln,15
I allmänhetens tjänst - granskning av public service,15
Madeleine Sandahl,15
Annika Elgeskog,15
Crazy Travels with Fredskronk,15
LO Sverige,15
mackanskost,14
Efterlyst,14
Positiv,14
Nyhetsmorgon,14
Lars Lindström,14
Kiwier,14
Arga bibliotekstanten,14
Katerina Janouch,14
aftonbladet,14
Vi står inte ut men vi slutar aldrig kämpa,14
Ett gott skratt,14
Joakim Lamotte,14
emelienilssonnn,14
Runar Sögaard,14
Alice Bah Kuhnke,14
Curioctopus.se,14
Dagens Nyheter,14
Al Pitcher,14
Jerry gillar,14
tv4_nyheterna,14
Carola Official,14
Fräckisar,14
Hanif Bali,14
Wisti,14
Sune ID Hund,13
Kalorismart,13
Jacke Sjödin,13
Kan den svenska flaggan få 1 000 000 likes,13
Nuntium.se,13
Sveriges Radio P1,13
isaknyqvist,13
Galenskaparna och After Shave,13
Aldrig Ensam,13
Polisen Stockholm - hundsektionen,13
Radiosporten,13
Fredrik Steen Officiell sida,13
Viralt,13
Helena Lindahl C Västerbotten,13
Olle Thorell,13
Ebba Busch,13
isaostling,13
Albin Lee Meldau,13
Black Dog Foundation,13
Sebastian Stakset,13
P4 Extra,13
Grufman Bil AB,13
Svenska Rovdjursföreningen,13
Dagens ETC,12
Sverige inför verkligheten,12
Svenska Djurambulansen,12
Sonjas sida,12
wonderboidead,12
Svensk Damtidning,12
anna.ragnarsson,12
SportExpressen,12
Vi som älskar kungafamiljen,12
Brommafrun,12
Ungsvenskarna,12
Amanda Lind,12
svtnyheter,12
Emanuel Karlsten,12
SAS - Scandinavian Airlines,12
Existenz.se,12
tildurs,12
simon.abramsson,12
humoristiskt,12
Jon Henrik Fjällgren,12
Missing People Sweden,12
kevinbang,12
GT,12
Gillat24,12
Min värld av teckningar och tavlor,12
HockeyNews.se,12
HockeyAllsvenskan,12
Kattkommando Syd - KKS,12
NRJ Morgon,12
Land,12
Jill Johnson,12
Nordiska museet,12
Nostalgi2000,12
Göran Greider,12
Lisa Nilsson,12
Lilla Gumman,12
oomarazar,12
TV4 Sport,11
hermanos1337,11
Pågen,11
SVT Dokumentär,11
Erik Grönwall,11
Glada Hudik-teatern,11
Samhällsnytt,11
Sverigedemokraterna i Europaparlamentet,11
Newsner Guldkorn,11
Hasse Kvinnaböske Andersson,11
Elisabeth Svantesson,11
Roxette,11
Gustav Fridolin,11
Expressen Nöje,11
Fredriks Fika,11
Lexbase.se,11
Lena Hallengren,11
Fredrik Kärrholm,11
Kenneth Gregg,11
Tullverket,11
Rebecca Weidmo Uvell,11
Tre Änglar,11
Polisen Eskilstuna,11
Tobias Baudin,11
Tjenare mannen,11
Bille userbiy6vhshsl,11
hollywoodfruarnatiktok,11
nwt.se,11
Robert Gustafsson,11
Peter Kondrup,11
Ny Teknik,11
thequeenpearl123,10
tiktokchrille,10
oscaronisse,10
taibinho,10
kennyq07,10
burekreport,10
edbuus,10
sportbladet,10
sannythai,10
stolpe.22,10
sembloom,10
henrythefreakofficial,10
winsentw,9
milo.ae_,9
juliaringblom,9
expressensport,9
emil_hansius,9
javligtrik,9
lisaborg,9
malinedengard,9
sporttouchen,9
emilallberg,9
kapplastavarna2.0,9
emilhenrohn,9
missmollymusic,9
goteborgsposten,9
elinbrynzer,9
dariagaripova,9
richandfamous8,9
jockismen123,9
wesam.k1,9
manszelmerlowofficial,9
BrödernaDuo,9
alexandra.nguyen7,9
denzoswe,9
humorgruppen.kaj,8
kulmedhumor,8
krobbez,8
alanmax,8
simonkafi,8
adaamtrapsson,8
filipdikmen,8
officiell_realtalk,8
zm10zm,8
heddasjdin,8
filippajuhllin,8
hilmastillle,8
fannynoord,8
nikodemusdromer,8
mysundqvists1,8
vigato2.0,8
xannyh,8
marianatalies,8
mutumba42,8
hermanoerkano,8
nocco,8
mr.slyndor,8
normal_sverige,8
martharasch,8
martinskalander,8
vanjaengstrom,8
allibabasss,8
fabiansvorono,8
simovic27,8
svenskabarndomen,8
erikssonhenke,8
svthumor,8
bruceee.leee,8
saabuun.groda,8
celinecarlsson,8
fridajernspetss,8
sarabekaduic,8
johansodermalm,8
svtlillaaktuellt,8
redheadsverige,8
jacobagren,8
johannaoholm,8
reinhold.3,8
eliottmalhotra,8
diyarimahmoud,8
dr.tracy,8
haga.barber,8
sverigedemokraterna,8
pontusofficial,8
jungliaofficial,8
benkaktus94,8
karaktarers,8
eric_sporrong,8
anisdondemina,8
ijustwanttobecool,8
orjanbossemange,8
kebabcarro1,8
basobackatitagain,8
p3nyheter,8
zorba.asplund,8
ifilip24,8
samthemans,8
plastmuggen1,8
efterlystse,7
megicmike133,7
moalindgrenlol,7
meiraomar,7
melvinhermansson,7
mimicronquist,7
nailzby.yana,7
emilrenmarker,7
emiliosofias,7
hihisverige,7
yuculacy,7
miiguzz,7
sd_micke,7
moahalleriksson,7
youknowike,7
emeliewinrot,7
santanaclouds1,7
unt.se,7
williamochamanda,7
rahmani.birre,7
top5ogonblick,7
snelabella,7
isabellaochcezar,7
haylieopappa,7
oscaronisse2.0,7
therese,7
ivohagstrom,7
pimpiinam,7
ponnesmat,7
foxymamantower,7
rossanaferrari48,7
hitrecord_sam,7
joannatipsar,7
svtsport,7
julia_isabellaa_,7
georgechaho,7
jockistiktok,7
ribecka,7
gronalund,7
rittazako,7
grwm.marta4,7
stromstedtmatilda,7
olivialindegren,7
ullabritta3,7
ulrika_e,7
un4nownboss,7
essnce.edp,7
mandablom,7
vendelasaajakisaa,7
expressensnoje,7
nostalgi_sverige4u,7
lydiaaamanda,7
lorentz_hedlund,7
f.officiial,7
shlofficial,7
lillaalfadjiii,7
liakiaaaa,7
urkelturkel,7
hant.se,7
faktaverket,7
henrikborg,7
helanshabani,7
hsswe,7
nyhetsmorgon,7
ohmans1,7
oliverkastell,7
filmstaden,7
timliljegren,7
.atuppmig,7
dyngbaggegalans,7
bbcflash,7
Richard Jomshof,7
Edvin Löf Wattberg,7
alva8764,7
anderssonmattis,7
Susanna Silfverskiöld,7
barre_ys,7
bergjohanna,7
bollandekatt34,7
darkvader1.1,7
celsiussweden,7
dagensindustri,7
darackerr,7
Gunnar Axén,7
David Roth-Lindberg,6
Chang Frick,6
Carl-Oskar Bohlin,6
Sofie Löwenmark,6
JensGanman,6
Daniel Sonesson Partiledare MED,5
Mister Magister Tran,5
Erika Ohlson,5
Mustafa Panshiri,5
Peter Wennblad,5
Joachim H,5
Paulina Brandberg,5
Adam Cwejman,5
Mattias Karlsson,5
Pontus Persson,5
Johan Forssell,5
Niklas Wykman,5
Alice Teodorescu Måwe,5
Ridefixer,5
Susanna Birgersson,5
Mats Persson,5
Herr Husis,5
Markus Allard,5
Lena Malmberg MED,5
Nils Littorin,5
Maria M Stenergard,5
Stefan Olsson,5
Jens Nylander,5
Gulan Avci,5
Benjamin Dousa,5
Jan Eliasson,4
Jan Ericson,4
Isabelle Eriksson,4
Ivar Arpi,4
Josefin Utas,4
oliver forslin,4
Johan Ingerö Alias,4
Josef Fransson,4
Jullan,4
Jörgen Huitfeldt,4
Kent Ekeroth,4
Klaus Bernpaintner,4
Lars Adaktusson,4
Ledarsidorna.se,4
Lennart,4
Leo Vene,4
Ida Karlbom,4
Elsa Widding,4
Hamid,4
Christoffer Svanemar,4
Åsa Westlund,4
Adam Danieli,4
Anders Lindberg,4
Andreas Gustavsson,4
Anel Avdić,4
widar andersson,4
Ann-Sofie Hermansson,4
Arin Karapet,4
Beatrice Timgren,4
Bülent Korucu,4
Christer Sfeirكريستر,4
Christofer Fjellner,4
Daniel Helldén,4
HG.Abrahamson,4
Din polis i orten,4
Doku,4
Douglas Thor,4
Edward Nordén,4
Ekonomigurun X,4
Ewan Gelius,4
Faw Azzat,4
Fredrik Malm,4
GP ledare,4
Gimle Kulturförening,4
Granskning,4
Gunnar Hökmark,4
Lilla My,4
ᴅɪᴠɪᴅᴇɴᴅ ʙᴏᴍʙᴇʀ,4
Reklamprofessorn,4
Slöseriombudsmannen,4
Philip Syrén,4
Tove Lifvendahl,4
Per Lindgren,4
Tobias Andersson,4
Per Gudmundson,4
Nick Alinia,4
Paulina Neuding,4
Utdelningsjägaren,4
Nike Örbrink,4
Teodor Koistinen,4
Snofsan,4
Nima Gholam Ali Pour,4
Omar Makram,4
Patrik Kronqvist,4
Micke K,4
Unni Drougge,4
Mattias Svensson,4
Mats Larsson,4
Ludvig Wiröstrand,4
MEMIS,4
Robert Hannah,4
Magnus Ranstorp,4
Malin Ekman,4
Malmgren,4
Maria Falk,4
Rashid Farivar,4
Mats Rigglöv,4
Pål Jonson,4
Pontus Andersson Garpvall,4
Pontus Abrahamsson ossacc,4
Mattias Albinsson,4
PM Nilsson,4
Daniel Kristoffersson,3
Simon Wakter,3
Chris Forsne,3
Sakine,3
Carolin Dahlman,3
SnyggbondeTM,3
Luai Ahmed,3
Sofia Nerbrand,3
Carl-Magnus Uggla,3
AIK Hockey,3
camilla brodin,3
Victor Pressfeldt,3
Verkan,3
Adam Marttinen,3
Agnes Wold,3
Anders Ygeman,3
Ulf Bjereld,3
Tomas Tobé,3
Angelica Lundberg,3
Annika Strandhäll,3
Daniel Suhonen,3
Teresa Carvalho,3
Staffan Dopping,3
Carl Bildt,3
Therese Verdun,3
Expressen Debatt,3
Dennis,3
Pia Clerté,3
Magda El-Hamas parodisatir,3
Maria Ingerö Alias,3
Jonna Sima Bank,3
Johan Pehrson,3
Mats Skogkär,3
Mattias Lindberg,3
Micael Östlund,3
Mikael Damberg,3
Mikael Grev,3
JENNY,3
Morgan Johansson,3
Muharrem Demirok,3
Ilan Sadé,3
Naomi Abramowicz,3
Håkan Boström,3
Henrik Sundström,3
Niels PaarupPetersen,3
Göran Rosenberg,3
Gurra,3
Ola Spännar,3
Operatören Bahnhof,3
Oskar Månsson,3
Frozen Crown,3
Fria Tider,3
Fouad Youcefi,3
Filippa Mannerheim,3
Ludvig Aspling,3
Peter Hellman,3
staffan danielsson,3
Lothbrok,3
