game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q386632,Warzone 2100,22
http://www.wikidata.org/entity/Q693592,Forza Motorsport 2,22
http://www.wikidata.org/entity/Q405497,Air,22
http://www.wikidata.org/entity/Q406414,Aion,22
http://www.wikidata.org/entity/Q721710,Phoenix Wright Ace Attorney Trials and Tribulations,22
http://www.wikidata.org/entity/Q766090,Motorstorm,22
http://www.wikidata.org/entity/Q772830,Heavenly Sword,22
http://www.wikidata.org/entity/Q773981,Utawarerumono,22
http://www.wikidata.org/entity/Q24300,Infamous 2,22
http://www.wikidata.org/entity/Q34920,Age of Empires Online,22
http://www.wikidata.org/entity/Q814975,Bejeweled,22
http://www.wikidata.org/entity/Q1050614,Kungen,22
http://www.wikidata.org/entity/Q1051694,Midtown Madness,22
http://www.wikidata.org/entity/Q278771,Worms,21
http://www.wikidata.org/entity/Q282623,Legacy of Kain Soul Reaver,21
http://www.wikidata.org/entity/Q376217,Driver Parallel Lines,21
http://www.wikidata.org/entity/Q698705,Double Dragon,21
http://www.wikidata.org/entity/Q717202,Farao,21
http://www.wikidata.org/entity/Q440046,The Lord of the Rings The Return of the King,21
http://www.wikidata.org/entity/Q440060,Slaget om Midgård Härskarringen,21
http://www.wikidata.org/entity/Q1001925,Flashback,21
http://www.wikidata.org/entity/Q1049570,Castle Wolfenstein,21
http://www.wikidata.org/entity/Q1049783,Postal,21
http://www.wikidata.org/entity/Q783839,Midnight Club 3 - DUB Edition,21
http://www.wikidata.org/entity/Q784143,Call of Duty 2 Big Red One,21
http://www.wikidata.org/entity/Q540406,Lara Croft and the Guardian of Light,21
http://www.wikidata.org/entity/Q567246,Anno 1404,21
http://www.wikidata.org/entity/Q379915,Adventure Atari 2600,20
http://www.wikidata.org/entity/Q390291,Donkey Kong 3,20
http://www.wikidata.org/entity/Q714145,Inazuma Eleven,20
http://www.wikidata.org/entity/Q392497,Kinect Adventures,20
http://www.wikidata.org/entity/Q717733,Arx Fatalis,20
http://www.wikidata.org/entity/Q509177,Mario Party DS,20
http://www.wikidata.org/entity/Q764736,Paper Mario Sticker Star,20
http://www.wikidata.org/entity/Q765972,Pokémon Battle Revolution,20
http://www.wikidata.org/entity/Q494713,GNU Chess,20
http://www.wikidata.org/entity/Q1047460,War Rock,20
http://www.wikidata.org/entity/Q26097,XCOM Enemy Unknown,20
http://www.wikidata.org/entity/Q810662,Bastion,20
http://www.wikidata.org/entity/Q268616,Metin2,19
http://www.wikidata.org/entity/Q689877,Army of Two,19
http://www.wikidata.org/entity/Q7383408,Civilization V Brave New World,19
http://www.wikidata.org/entity/Q392183,Age of Conan Hyborian Adventures,19
http://www.wikidata.org/entity/Q729212,Spider-Man Shattered Dimensions,19
http://www.wikidata.org/entity/Q498469,Postal III,19
http://www.wikidata.org/entity/Q765425,Sonic Advance 3,19
http://www.wikidata.org/entity/Q810986,Battle Chess,19
http://www.wikidata.org/entity/Q806598,Banjo-Tooie,19
http://www.wikidata.org/entity/Q816823,Beneath a Steel Sky,19
http://www.wikidata.org/entity/Q310003,Killer7,18
http://www.wikidata.org/entity/Q343033,Actraiser,18
http://www.wikidata.org/entity/Q379438,Enslaved Odyssey to the West,18
http://www.wikidata.org/entity/Q721001,Phantasy Star II,18
http://www.wikidata.org/entity/Q736865,Olympens härskare,18
http://www.wikidata.org/entity/Q507396,Crash Bandicoot Mind over Mutant,18
http://www.wikidata.org/entity/Q740515,Madagascar,18
http://www.wikidata.org/entity/Q526700,Jak II Renegade,18
http://www.wikidata.org/entity/Q1027129,Call of Juarez Bound in Blood,18
http://www.wikidata.org/entity/Q995874,Fallout Tactics,18
http://www.wikidata.org/entity/Q788134,Marvel vs. Capcom 3 Fate of Two Worlds,18
http://www.wikidata.org/entity/Q544071,Tibia,18
http://www.wikidata.org/entity/Q806592,Banjo-Kazooie Nuts Bolts,18
http://www.wikidata.org/entity/Q558753,Lost Odyssey,18
http://www.wikidata.org/entity/Q284928,flOw,17
http://www.wikidata.org/entity/Q389254,Super Castlevania IV,17
http://www.wikidata.org/entity/Q699610,Runes of Magic,17
