"Rank","Name","Symbol","marketcap","price (USD)","country"
"121","Samhällsbyggnadsbolaget i Norden","SBB-B.ST","787850514","0.403615","Sweden"
"122","Bergman &amp; Beving","BERG-B.ST","783368207","29.4105","Sweden"
"123","Karnov Group","KAR.ST","777652374","7.56119","Sweden"
"124","MedCap","MCAP.ST","753382927","50.1615","Sweden"
"125","RVRC Holding","RVRC.ST","751086623","7.03845","Sweden"
"126","Sveafastigheter AB","SVEAF.ST","733178213","3.71512","Sweden"
"127","Arjo AB","ARJO-B.ST","728281630","2.67387","Sweden"
"128","Logistea AB","LOGI-A.ST","716238824","1.38868","Sweden"
"129","RaySearch Laboratories AB","RAY-B.ST","703075927","20.5081","Sweden"
"130","Hexatronic Group AB","HTRO.ST","695779067","3.38353","Sweden"
"131","Volati AB","VOLO.ST","685251594","8.45882","Sweden"
"132","MilDef Group","MILDEF.ST","684833263","14.5416","Sweden"
"133","Mips AB","MIPS.ST","652388013","24.6267","Sweden"
"134","Momentum Group AB","MMGR-B.ST","635877228","12.8625","Sweden"
"135","Troax Group AB","TROAX.ST","620610080","10.3702","Sweden"
"136","Boozt","BOOZT.ST","598498737","10.0904","Sweden"
"137","Bahnhof AB","3B7.F","588769728","5.47361","Sweden"
"138","Viaplay Group","VPLAY-B.ST","588203705","0.129364","Sweden"
"139","Coor Service Management Holding AB","COOR.ST","583931132","6.15139","Sweden"
"140","Acast AB","ACAST.ST","512553181","2.80905","Sweden"
"141","Nederman Holding","NMAN.ST","509386873","14.5422","Sweden"
"142","Duni AB","DUNI.ST","482391386","10.2639","Sweden"
"143","Flat Capital AB","FLAT-B.ST","478420875","0.960989","Sweden"
"144","John Mattson Fastighetsföretagen","JOMA.ST","473684877","6.31507","Sweden"
"145","Nyab AB","NYAB.ST","452261375","0.635432","Sweden"
"146","BHG Group AB","BHG.ST","451029880","2.51644","Sweden"
"147","Linc AB","LINC.ST","438483387","7.57175","Sweden"
"148","Truecaller","TRUE-B.ST","370807314","1.12467","Sweden"
"149","XANO Industri","XANO-B.ST","348244468","5.87154","Sweden"
"150","Fastighets AB Trianon","TRIAN-B.ST","347744115","1.88607","Sweden"
"151","Byggmax Group","BMAX.ST","337409073","5.75537","Sweden"
"152","Nordic Paper","NPAPER.ST","334821133","5.00414","Sweden"
"153","Brinova Fastigheter","BRIN-B.ST","329997976","1.43315","Sweden"
"154","Bredband2 i Skandinavien AB","BRE2.ST","328485011","0.34321","Sweden"
"155","Oatly","OTLY","320680768","10.27","Sweden"
"156","Yubico","YUBICO.ST","318854504","3.6893","Sweden"
"157","Verve Group SE","VER.ST","317628178","1.58722","Sweden"
