work,workLabel,sitelinks
http://www.wikidata.org/entity/Q96628864,Tove,17
http://www.wikidata.org/entity/Q111600269,Boy from Heaven,17
http://www.wikidata.org/entity/Q118765520,The History of Sound,17
http://www.wikidata.org/entity/Q1187530,Riten,16
http://www.wikidata.org/entity/Q51572795,Störst av allt,16
http://www.wikidata.org/entity/Q2037296,Berg-Ejvind och hans hustru,16
http://www.wikidata.org/entity/Q1817757,Leningrad Cowboys Go America,16
http://www.wikidata.org/entity/Q1073856,Strings,16
http://www.wikidata.org/entity/Q164616,Snabba Cash,16
http://www.wikidata.org/entity/Q1108471,Hamnstad,16
http://www.wikidata.org/entity/Q1091180,En lektion i kärlek,16
http://www.wikidata.org/entity/Q31899662,Om det oändliga,16
http://www.wikidata.org/entity/Q98078619,Greta,16
http://www.wikidata.org/entity/Q10425783,Bamse och tjuvstaden,15
http://www.wikidata.org/entity/Q1755743,Kalle Stropp och Grodan Boll på svindlande äventyr,15
http://www.wikidata.org/entity/Q653789,Pippi Långstrump,15
http://www.wikidata.org/entity/Q106023381,Melodifestivalen 2022,15
http://www.wikidata.org/entity/Q55400971,Melodifestivalen 2019,15
http://www.wikidata.org/entity/Q20220065,Melodifestivalen 2016,15
http://www.wikidata.org/entity/Q2634776,Sound of Noise,15
http://www.wikidata.org/entity/Q1675241,Oxen,15
http://www.wikidata.org/entity/Q1659521,I rymden finns inga känslor,15
http://www.wikidata.org/entity/Q1758118,Kon-Tiki,15
http://www.wikidata.org/entity/Q1256208,Rare Exports: A Christmas Tale,15
http://www.wikidata.org/entity/Q1170128,Kvarteret Korpen,15
http://www.wikidata.org/entity/Q1633378,Ådalen 31,15
http://www.wikidata.org/entity/Q151730,Zozo,15
http://www.wikidata.org/entity/Q1195466,Mannen på taket,15
http://www.wikidata.org/entity/Q14551360,Vi är bäst!,15
http://www.wikidata.org/entity/Q56598902,Unga Astrid,15
http://www.wikidata.org/entity/Q114000704,Sick of Myself,15
http://www.wikidata.org/entity/Q2480093,Metropia,14
http://www.wikidata.org/entity/Q85782411,Kärlek & anarki,14
http://www.wikidata.org/entity/Q1757390,Kalle Stropp och Grodan Boll räddar Hönan,14
http://www.wikidata.org/entity/Q118559532,Melodifestivalen 2024,14
http://www.wikidata.org/entity/Q111255020,Melodifestivalen 2023,14
http://www.wikidata.org/entity/Q30753989,Melodifestivalen 2018,14
http://www.wikidata.org/entity/Q60971029,Melodifestivalen 2020,14
http://www.wikidata.org/entity/Q1983714,Polisstyrka X7,14
http://www.wikidata.org/entity/Q1768754,Aberdeen,14
http://www.wikidata.org/entity/Q1851033,Sofies värld,14
http://www.wikidata.org/entity/Q2054210,Jag är nyfiken – en film i gult,14
http://www.wikidata.org/entity/Q4069758,Arn – Riket vid vägens slut,14
http://www.wikidata.org/entity/Q890132,Kriget är slut,14
http://www.wikidata.org/entity/Q1755197,"Hawaii, Oslo",14
http://www.wikidata.org/entity/Q1740744,Thriller – en grym film,14
http://www.wikidata.org/entity/Q431948,Kopps,14
http://www.wikidata.org/entity/Q200607,Bröderna Lejonhjärta,14
http://www.wikidata.org/entity/Q532112,Ole dole doff,14
http://www.wikidata.org/entity/Q1217931,Den bästa av mödrar,14
http://www.wikidata.org/entity/Q1431878,Piratgrottans hemlighet,14
http://www.wikidata.org/entity/Q1103638,Blinkande lyktor,14
http://www.wikidata.org/entity/Q790282,Barbara,14
http://www.wikidata.org/entity/Q339204,Pippi Långstrump på de sju haven,14
http://www.wikidata.org/entity/Q15676054,Kvinnan i rummet,14
http://www.wikidata.org/entity/Q105043940,Pleasure,14
http://www.wikidata.org/entity/Q124336101,En liten bit av kakan,14
http://www.wikidata.org/entity/Q694762,Efter repetitionen,13
http://www.wikidata.org/entity/Q245951,Karlsson på taket,13
http://www.wikidata.org/entity/Q114357209,The Playlist,13
http://www.wikidata.org/entity/Q113841230,The Swarm,13
http://www.wikidata.org/entity/Q27230679,Midnattssol,13
http://www.wikidata.org/entity/Q19291313,Jordskott,13
http://www.wikidata.org/entity/Q1757014,Allsång på Skansen,13
http://www.wikidata.org/entity/Q671726,De tre vännerna och Jerry,13
http://www.wikidata.org/entity/Q87482203,Melodifestivalen 2021,13
http://www.wikidata.org/entity/Q26710151,Melodifestivalen 2017,13
http://www.wikidata.org/entity/Q10581329,Melodifestivalen 2014,13
http://www.wikidata.org/entity/Q2614695,Play,13
http://www.wikidata.org/entity/Q3213909,Ingmarssönerna,13
http://www.wikidata.org/entity/Q1759648,"Kalle Stropp, Grodan Boll och deras vänner",13
http://www.wikidata.org/entity/Q1636972,Ingenjör Andrées luftfärd,13
http://www.wikidata.org/entity/Q205687,Jag är Dina,13
http://www.wikidata.org/entity/Q1466601,Terje Vigen,13
http://www.wikidata.org/entity/Q18623843,Skämmerskans dotter,13
http://www.wikidata.org/entity/Q27049580,Euphoria,13
http://www.wikidata.org/entity/Q23895091,Flaskpost från P,13
http://www.wikidata.org/entity/Q135438510,Den siste vikingen,13
http://www.wikidata.org/entity/Q1852055,Steal This Film,12
http://www.wikidata.org/entity/Q547102,Edvard Munch,12
http://www.wikidata.org/entity/Q21685965,Modus,12
http://www.wikidata.org/entity/Q126688619,Melodifestivalen 2025,12
http://www.wikidata.org/entity/Q134074182,Melodifestivalen 2026,12
http://www.wikidata.org/entity/Q16853858,Melodifestivalen 2015,12
http://www.wikidata.org/entity/Q2706427,Melodifestivalen 2013,12
http://www.wikidata.org/entity/Q2706432,Melodifestivalen 2012,12
http://www.wikidata.org/entity/Q1329527,Elina – som om jag inte fanns,12
http://www.wikidata.org/entity/Q1326419,Den tredje makten,12
http://www.wikidata.org/entity/Q3212086,Prästänkan,12
http://www.wikidata.org/entity/Q2440163,Vill jag vissla så visslar jag,12
http://www.wikidata.org/entity/Q3231865,Varelserna,12
http://www.wikidata.org/entity/Q3481120,Den röda kappan,12
http://www.wikidata.org/entity/Q5098148,Barnens ö,12
http://www.wikidata.org/entity/Q4351048,En sång för Martin,12
http://www.wikidata.org/entity/Q4902928,Pelle Svanslös och den stora skattjakten,12
http://www.wikidata.org/entity/Q1664445,De glömda själarnas ö,12
http://www.wikidata.org/entity/Q1767142,Frostbiten,12
http://www.wikidata.org/entity/Q1047872,Picassos äventyr,12
http://www.wikidata.org/entity/Q469708,It's All About Love,12
http://www.wikidata.org/entity/Q1169261,Under solen,12
http://www.wikidata.org/entity/Q1141481,Trolösa,12
http://www.wikidata.org/entity/Q218496,De ofrivilliga,12
http://www.wikidata.org/entity/Q2735941,Videocracy,12
http://www.wikidata.org/entity/Q974427,Beröringen,12
http://www.wikidata.org/entity/Q3013549,Tösen från Stormyrtorpet,12
http://www.wikidata.org/entity/Q401539,Svinalängorna,12
http://www.wikidata.org/entity/Q1115105,Hamilton,12
http://www.wikidata.org/entity/Q1193515,Korpen flyger,12
http://www.wikidata.org/entity/Q653375,Käre John,12
http://www.wikidata.org/entity/Q87240826,Drottning Margareta,12
http://www.wikidata.org/entity/Q4132634,Morden i Sandhamn,11
http://www.wikidata.org/entity/Q323960,Emil i Lönneberga,11
http://www.wikidata.org/entity/Q1984125,Häxan,11
http://www.wikidata.org/entity/Q1768770,Hamsun,11
http://www.wikidata.org/entity/Q2156784,Herr Arnes pengar,11
http://www.wikidata.org/entity/Q3070570,Dödskyssen,11
http://www.wikidata.org/entity/Q8027984,Kyss mig,11
http://www.wikidata.org/entity/Q4895556,Therèse,11
http://www.wikidata.org/entity/Q3993888,Hem till jul,11
http://www.wikidata.org/entity/Q759230,Mammut,11
http://www.wikidata.org/entity/Q1354974,Syskonbädd 1782,11
http://www.wikidata.org/entity/Q1247293,"Tsatsiki, morsan och polisen",11
http://www.wikidata.org/entity/Q609479,Joe Hill,11
http://www.wikidata.org/entity/Q374373,Arvet,11
http://www.wikidata.org/entity/Q230545,Masjävlar,11
http://www.wikidata.org/entity/Q392684,Hamilton – I nationens intresse,11
