wordLabel,score,rank,sitelinks,sources
skratta,16.0,47,54.0,1
Stefan Olsson,5.0,37,64.0,1
Yumi Två,23.0,55,46.0,1
richandfamous8,9.0,41,60.0,1
TV4 Nyhetsmorgon,20.0,52,49.0,1
Göteborgs-Posten,45.0,77,24.0,1
Newsner Familj,16.0,48,53.0,1
Mats Persson,5.0,38,63.0,1
Prime Video Sverige,23.0,56,45.0,1
goteborgsposten,9.0,42,59.0,1
Jennie Walldèn,20.0,53,48.0,1
Martin Falklind,16.0,49,52.0,1
Ridefixer,5.0,39,62.0,1
Hairtalkbyemelie,23.0,57,44.0,1
BrödernaDuo,9.0,43,58.0,1
Lisa Borg,44.0,78,23.0,1
Virre CS2,16.0,50,51.0,1
Niklas Wykman,5.0,40,61.0,1
denzoswe,9.0,44,57.0,1
Anders Bagge,20.0,55,46.0,1
Thomas Englund,16.0,51,50.0,1
Christian Peterson 🇸🇪,5.0,41,60.0,1
Tanbyklara,22.0,58,43.0,1
manszelmerlowofficial,9.0,45,56.0,1
Jan Emanuel,20.0,56,45.0,1
Susanna Birgersson,5.0,42,59.0,1
Mirabell,22.0,59,42.0,1
expressensport,9.0,46,55.0,1
Helen Torsgården 🐐,20.0,57,44.0,1
RIX FM,44.0,81,20.0,1
Kapten Mat,22.0,60,41.0,1
juliaringblom,9.0,47,54.0,1
Steffo Törnquist,20.0,58,43.0,1
Aron Flam,5.0,44,57.0,1
ROY NADER,22.0,61,40.0,1
lisaborg,9.0,48,53.0,1
MARCUS DÜBOIS,20.0,59,42.0,1
Goilarn,43.0,82,19.0,1
Roliga Skyltar,15.0,54,47.0,1
Paulina Brandberg,5.0,45,56.0,1
Nu fan räcker det,22.0,62,39.0,1
elinbrynzer,9.0,49,52.0,1
Malin Persson Giolito,20.0,60,41.0,1
Carina Bergfeldt,15.0,55,46.0,1
winsentw,9.0,50,51.0,1
Jenny Strömstedt,20.0,61,40.0,1
Simon Kafi,43.0,84,17.0,1
HG.Abrahamson,4.0,46,55.0,1
Masha och Björnen,22.0,64,37.0,1
wesam.k1,9.0,51,50.0,1
Ant Wan,20.0,62,39.0,1
Lovisa Karlsson,43.0,85,16.0,1
LO Sverige,15.0,57,44.0,1
Slöseriombudsmannen,4.0,47,54.0,1
Kanal 5 Sverige,22.0,65,36.0,1
emil_hansius,9.0,52,49.0,1
Marcus Palmkvist,20.0,63,38.0,1
Herregud & Co,15.0,58,43.0,1
Granskning,4.0,48,53.0,1
Rasmus Kamerer,22.0,66,35.0,1
kapplastavarna2.0,9.0,53,48.0,1
Camilla Läckberg,20.0,64,37.0,1
Björkarpsgården,43.0,87,14.0,1
Lars Adaktusson,4.0,49,52.0,1
Eveline Blomfeldt,22.0,67,34.0,1
Victor Leksell,20.0,65,36.0,1
Jan Ericson 🇸🇪🇺🇦,4.0,50,51.0,1
JeppeGaming,22.0,68,33.0,1
benkaktus94,8.0,54,47.0,1
Christofer Berg,43.0,89,12.0,1
Hamid,4.0,51,50.0,1
Inblick med Nick,22.0,69,32.0,1
zorba.asplund,8.0,55,46.0,1
TittaPaVideon,15.0,62,39.0,1
redheadsverige,8.0,56,45.0,1
F I L I P D I K M E N,20.0,68,33.0,1
Madeleine Sandahl,15.0,63,38.0,1
Per Lindgren,4.0,53,48.0,1
3prinsessor,21.0,70,31.0,1
samthemans,8.0,57,44.0,1
Julia Bergman Everberg,20.0,69,32.0,1
Alternativ för Sverige,42.0,91,10.0,1
I allmänhetens tjänst - granskning av public service,15.0,64,37.0,1
Magnus Ranstorp,4.0,54,47.0,1
Katerina Janouch,18.0,74,33.0,2
johannaoholm,8.0,58,43.0,1
Christina Schollin,20.0,70,31.0,1
Matbibeln,15.0,65,36.0,1
Ewan Gelius☕️,4.0,55,46.0,1
svthumor,8.0,59,42.0,1
Kalle Zackari Wahlström,20.0,71,30.0,1
Edward Blom,4.0,56,45.0,1
Matinbum,21.0,73,28.0,1
svtlillaaktuellt,8.0,60,41.0,1
Expressen Story,15.0,67,34.0,1
Edward Nordén,4.0,57,44.0,1
Carl Déman,21.0,74,27.0,1
nikodemusdromer,8.0,61,40.0,1
AIK,41.0,94,7.0,1
Gilla sidan eller sk*t i det,15.0,68,33.0,1
Elsa Widding,4.0,58,43.0,1
Motornörd,21.0,75,26.0,1
p3nyheter,8.0,62,39.0,1
🌈 Familjen & Co | Mamma Mamma Barn,19.0,73,28.0,1
Amalia Braunsthal,41.0,95,6.0,1
Malmgren! 🇺🇦,4.0,59,42.0,1
Tomas och Malin,21.0,76,25.0,1
Gurkis,19.0,74,27.0,1
Svenska kyrkan,15.0,70,31.0,1
Doku,4.0,60,41.0,1
kebabcarro1,8.0,64,37.0,1
Levi Zion,19.0,75,26.0,1
Sports on Max Sverige,15.0,71,30.0,1
Johan Ingerö Alias 🇺🇦🇮🇱,4.0,61,40.0,1
Supersagor,20.0,77,24.0,1
eliottmalhotra,8.0,65,36.0,1
Mia Skäringer Lázár,19.0,76,25.0,1
Mikael Berggren,15.0,72,29.0,1
Pontus Abrahamsson — oss/acc,4.0,62,39.0,1
Hampus Hedström,20.0,78,23.0,1
karaktarers,8.0,66,35.0,1
Helena Bergström,19.0,77,24.0,1
Omar Makram,4.0,63,38.0,1
Liam M,20.0,79,22.0,1
vanjaengstrom,8.0,67,34.0,1
Dobb TV,40.0,99,2.0,1
Arin Karapet,4.0,64,37.0,1
HaylieOPappa,20.0,80,21.0,1
mysundqvists1,8.0,68,33.0,1
Linn Ahlborg,19.0,79,22.0,1
NRJ,40.0,100,1.0,1
Nyhetsmorgon,14.0,74,27.0,1
Pontus Andersson Garpvall,4.0,65,36.0,1
Lisa Borg fd Anckarman,20.0,81,20.0,1
diyarimahmoud,8.0,69,32.0,1
Tobias Andersson,4.0,66,35.0,1
Cluee News,20.0,82,19.0,1
officiell_realtalk,8.0,70,31.0,1
Emelie Ringholm,19.0,81,20.0,1
Hundstallet,14.0,76,25.0,1
Josefin Utas,4.0,67,34.0,1
Frihetsnytt,20.0,83,18.0,1
marianatalies,8.0,71,30.0,1
Brita Zackari,19.0,82,19.0,1
Carola (Official),14.0,77,24.0,1
Ludvig Wiröstrand,4.0,68,33.0,1
Beas liv,20.0,84,17.0,1
simonkafi,8.0,72,29.0,1
ortenkomediii,19.0,83,18.0,1
Dagens Nyheter,14.0,78,23.0,1
Nick Alinia,4.0,69,32.0,1
Stefan Hildingsson,20.0,85,16.0,1
adaamtrapsson,8.0,73,28.0,1
SVT Nyheter,19.0,84,17.0,1
Alice Bah Kuhnke,14.0,79,22.0,1
Snofsan,4.0,70,31.0,1
Periks Värld,20.0,86,15.0,1
basobackatitagain,8.0,74,27.0,1
Josephine Bornebusch,19.0,85,16.0,1
Lars Lindström,14.0,80,21.0,1
Din polis i orten,4.0,71,30.0,1
kanalgratisdotse,20.0,87,14.0,1
fridajernspetss,8.0,75,26.0,1
Marléne & Desirée Eriksson,19.0,86,15.0,1
Ett gott skratt,14.0,81,20.0,1
🇸🇪 Lilla My 🇸🇪 🇪🇸🎗️,4.0,72,29.0,1
Ambition Sverige,20.0,88,13.0,1
xannyh,8.0,76,25.0,1
LINDA-MARIE ASSERGÅRD,19.0,87,14.0,1
Kiwier,14.0,82,19.0,1
Jörgen Huitfeldt,4.0,73,28.0,1
heddasjdin,8.0,77,24.0,1
Musikhjälpen,19.0,88,13.0,1
Efterlyst,14.0,83,18.0,1
LAKI,19.0,89,12.0,1
JENNIFER E. ANDERSSON,19.0,89,12.0,1
Positiv,14.0,84,17.0,1
MotVikt,19.0,90,11.0,1
orjanbossemange,8.0,79,22.0,1
Nyheter24,14.0,85,16.0,1
Gimle Kulturförening,4.0,76,25.0,1
saabuun.groda,8.0,80,21.0,1
Castor,19.0,91,10.0,1
Douglas Thor,4.0,77,24.0,1
BJÖRKARPS GÅRDEN,19.0,92,9.0,1
pontusofficial,8.0,81,20.0,1
Mjölbypartiet,19.0,92,9.0,1
Netflix,14.0,87,14.0,1
Robert Hannah,4.0,78,23.0,1
Charlotta Rexmark,19.0,93,8.0,1
alanmax,8.0,82,19.0,1
Jakob Norrgård,19.0,93,8.0,1
Al Pitcher,14.0,88,13.0,1
Mats Rigglöv 🇸🇪 🇺🇦,4.0,79,22.0,1
Jonkan,19.0,94,7.0,1
mr.slyndor,8.0,83,18.0,1
Martin Knutsson,19.0,94,7.0,1
Maria Falk,4.0,80,21.0,1
Lustiga Tankar,19.0,95,6.0,1
erikssonhenke,8.0,84,17.0,1
Runar Sögaard,14.0,90,11.0,1
Elisabeth Svantesson,4.0,81,20.0,1
ManfredErlandsson,19.0,96,5.0,1
plastmuggen1,8.0,85,16.0,1
Samir Abu Eid,19.0,96,5.0,1
Curioctopus.se,14.0,91,10.0,1
widar andersson,4.0,82,19.0,1
hannahappy,19.0,97,4.0,1
simovic27,8.0,86,15.0,1
Finn Aldén-Joyce,19.0,97,4.0,1
