company,companyLabel,sitelinks
http://www.wikidata.org/entity/Q10602102,Nordiska Kreditbanken,2
http://www.wikidata.org/entity/Q10669782,Skaraborgsbanken,2
http://www.wikidata.org/entity/Q10671111,Skånes Enskilda Bank,2
http://www.wikidata.org/entity/Q10685945,Sveriges Privata Centralbank,2
http://www.wikidata.org/entity/Q10688595,Södermanlands Enskilda Bank,2
http://www.wikidata.org/entity/Q10719635,Wermlandsbanken,2
http://www.wikidata.org/entity/Q10727461,Örebro enskilda bank,2
http://www.wikidata.org/entity/Q4582805,Skandiabanken,2
http://www.wikidata.org/entity/Q10498219,Stockholm Exergi,2
http://www.wikidata.org/entity/Q10521828,Hemnet,2
http://www.wikidata.org/entity/Q16498149,Bankaktiebolaget Stockholm-Öfre Norrland,2
http://www.wikidata.org/entity/Q49101045,Twilfit,2
http://www.wikidata.org/entity/Q5277826,Västernorrlands läns trafik,2
http://www.wikidata.org/entity/Q97570857,Vänersborgsbanken,2
http://www.wikidata.org/entity/Q135403335,Enity Bank Group,2
http://www.wikidata.org/entity/Q136218722,Nordax bank,2
http://www.wikidata.org/entity/Q109780258,Avarda Bank,2
http://www.wikidata.org/entity/Q109483392,Exxentric,2
http://www.wikidata.org/entity/Q112623399,Pophouse Entertainment,2
http://www.wikidata.org/entity/Q115112945,Alleima,2
http://www.wikidata.org/entity/Q133251859,Ikea of Sweden,2
http://www.wikidata.org/entity/Q100152819,Plejd,2
http://www.wikidata.org/entity/Q10579256,Medivir,2
http://www.wikidata.org/entity/Q114959508,CombinedX,2
http://www.wikidata.org/entity/Q135985915,Q135985915,2
http://www.wikidata.org/entity/Q422016,ASG,2
http://www.wikidata.org/entity/Q1922001,Merresor,2
http://www.wikidata.org/entity/Q1315348,Mio,2
http://www.wikidata.org/entity/Q1570869,Halens,2
http://www.wikidata.org/entity/Q28492296,Fingerprint Cards,2
http://www.wikidata.org/entity/Q10397888,Abdon Finax,2
http://www.wikidata.org/entity/Q10428434,Bergkvarabuss,2
http://www.wikidata.org/entity/Q10457644,Concentric AB,2
http://www.wikidata.org/entity/Q10491354,Euromaint,2
http://www.wikidata.org/entity/Q10521746,Hemköp,2
http://www.wikidata.org/entity/Q10523825,Tre Sverige,2
http://www.wikidata.org/entity/Q10546893,Kockums Emaljerverk,2
http://www.wikidata.org/entity/Q10612136,Orsatåg,2
http://www.wikidata.org/entity/Q10612751,Orusttrafiken,2
http://www.wikidata.org/entity/Q18290464,Halmstad–Nässjö Järnvägar,2
http://www.wikidata.org/entity/Q18333660,Sävsta motell,2
http://www.wikidata.org/entity/Q18333441,Svenska Ostasiatiska Kompaniet,2
http://www.wikidata.org/entity/Q18448590,Archimedes AB,2
http://www.wikidata.org/entity/Q19978658,Stenhamra stenhuggeri,2
http://www.wikidata.org/entity/Q19979157,Ystad-Metall,2
http://www.wikidata.org/entity/Q31886693,Wahlqvistska Klädesfabriken,2
http://www.wikidata.org/entity/Q10680381,Stjärnurmakarna,2
http://www.wikidata.org/entity/Q10680680,Stockholms Ångslups AB,2
http://www.wikidata.org/entity/Q10685071,Svenska Järnvägsverkstäderna,2
http://www.wikidata.org/entity/Q10686461,Swedcarrier,2
http://www.wikidata.org/entity/Q10717023,Vulcan (tändsticksfabrik),2
http://www.wikidata.org/entity/Q31843601,Sala Kakel- och Keramikfabrik,2
http://www.wikidata.org/entity/Q31888891,Aktiebolaget Sveriges förenade konservfabriker,2
http://www.wikidata.org/entity/Q31889299,Skogsfors bruk,2
http://www.wikidata.org/entity/Q106676040,Billman-Regulator AB,2
http://www.wikidata.org/entity/Q109974149,Electrolux Professional,2
http://www.wikidata.org/entity/Q131308814,Rosendahls,2
http://www.wikidata.org/entity/Q131824221,Lundqvist Trävaru,2
http://www.wikidata.org/entity/Q23044713,NDC Netzler & Dahlgren Co AB,2
http://www.wikidata.org/entity/Q27244252,Norrtälje Gevärsfaktori,2
http://www.wikidata.org/entity/Q29033857,Uno-X,2
http://www.wikidata.org/entity/Q31890406,Boye & Thoresens Elektriska AB,2
http://www.wikidata.org/entity/Q31898071,Sveriges Lokalradio,2
