character,characterLabel,sitelinks
http://www.wikidata.org/entity/Q6612,Charon,66
http://www.wikidata.org/entity/Q131090,Chaos,66
http://www.wikidata.org/entity/Q131125,Hebe,66
http://www.wikidata.org/entity/Q170471,Ma'at,66
http://www.wikidata.org/entity/Q187602,Kirke,66
http://www.wikidata.org/entity/Q179818,Quetzalcóatl,66
http://www.wikidata.org/entity/Q191626,Sonic the Hedgehog,65
http://www.wikidata.org/entity/Q131651,Elektra,65
http://www.wikidata.org/entity/Q158825,Jeremia,65
http://www.wikidata.org/entity/Q165496,Nut,65
http://www.wikidata.org/entity/Q542758,Styx,65
http://www.wikidata.org/entity/Q51746,Luke Skywalker,64
http://www.wikidata.org/entity/Q177439,Rubeus Hagrid,64
http://www.wikidata.org/entity/Q236242,Amitabha,64
http://www.wikidata.org/entity/Q29201,Huang-Di,64
http://www.wikidata.org/entity/Q1001037,Varuna,64
http://www.wikidata.org/entity/Q103968,Klio,64
http://www.wikidata.org/entity/Q170473,Priamos,64
http://www.wikidata.org/entity/Q194064,Hesekiel,64
http://www.wikidata.org/entity/Q213027,Enok,64
http://www.wikidata.org/entity/Q214617,Hagar,64
http://www.wikidata.org/entity/Q148030,Triton,64
http://www.wikidata.org/entity/Q180222,Amfitrite,64
http://www.wikidata.org/entity/Q170569,Atum,64
http://www.wikidata.org/entity/Q181360,Harpyja,63
http://www.wikidata.org/entity/Q184874,Ariadne,63
http://www.wikidata.org/entity/Q732413,Ester,63
http://www.wikidata.org/entity/Q179209,Hyperion,63
http://www.wikidata.org/entity/Q184232,Theia,63
http://www.wikidata.org/entity/Q188536,Anu,63
http://www.wikidata.org/entity/Q29409,Mut,63
http://www.wikidata.org/entity/Q146104,Sekhmet,63
http://www.wikidata.org/entity/Q45097,Yama,63
http://www.wikidata.org/entity/Q178710,Vesta,63
http://www.wikidata.org/entity/Q148659,Indiana Jones,62
http://www.wikidata.org/entity/Q186422,Wolverine,62
http://www.wikidata.org/entity/Q190563,Pontos,62
http://www.wikidata.org/entity/Q235102,Ravana,62
http://www.wikidata.org/entity/Q139464,Sakarias,62
http://www.wikidata.org/entity/Q12044,Det flygande spaghettimonstret,62
http://www.wikidata.org/entity/Q179543,Iapetos,62
http://www.wikidata.org/entity/Q180237,Tyfon,62
http://www.wikidata.org/entity/Q183281,Phoebe,62
http://www.wikidata.org/entity/Q192550,Eldorado,62
http://www.wikidata.org/entity/Q168444,Geb,62
http://www.wikidata.org/entity/Q170138,Shu,62
http://www.wikidata.org/entity/Q190511,Apep,62
http://www.wikidata.org/entity/Q272523,Inanna,62
http://www.wikidata.org/entity/Q380817,Karttikeya,62
http://www.wikidata.org/entity/Q4654,Fortuna,62
http://www.wikidata.org/entity/Q140001,Eris,62
http://www.wikidata.org/entity/Q172713,Tyr,62
http://www.wikidata.org/entity/Q111135,Långben,61
http://www.wikidata.org/entity/Q184689,Uncle Sam,61
http://www.wikidata.org/entity/Q202492,Beelzebub,61
http://www.wikidata.org/entity/Q3266236,Greve Dracula,61
http://www.wikidata.org/entity/Q931,Uzumaki Naruto,61
http://www.wikidata.org/entity/Q6668,Pippi Långstrump,61
http://www.wikidata.org/entity/Q51740,Obi-Wan Kenobi,61
