artist,artistLabel,sitelinks
http://www.wikidata.org/entity/Q172264,Slim Borgudd,21
http://www.wikidata.org/entity/Q16945221,Jon Henrik Fjällgren,21
http://www.wikidata.org/entity/Q350481,Oscar Dronjak,21
http://www.wikidata.org/entity/Q254023,Marie Serneholt,21
http://www.wikidata.org/entity/Q264668,Brita Borg,21
http://www.wikidata.org/entity/Q50323778,Lukas Meijer,21
http://www.wikidata.org/entity/Q84316706,Theodor Haraldsson,21
http://www.wikidata.org/entity/Q183359,Allan Pettersson,20
http://www.wikidata.org/entity/Q360855,Joacim Cans,20
http://www.wikidata.org/entity/Q380316,Björn Gelotte,20
http://www.wikidata.org/entity/Q358640,Mikael Stanne,20
http://www.wikidata.org/entity/Q242589,Meja,20
http://www.wikidata.org/entity/Q493733,Lasse Berghagen,20
http://www.wikidata.org/entity/Q964028,Håkan Hellström,20
http://www.wikidata.org/entity/Q1051813,Tommy Nilsson,20
http://www.wikidata.org/entity/Q1282901,Eddie Meduza,20
http://www.wikidata.org/entity/Q438786,Käbi Laretei,20
http://www.wikidata.org/entity/Q472602,Wilhelm Peterson-Berger,20
http://www.wikidata.org/entity/Q552529,Ted Gärdestad,20
http://www.wikidata.org/entity/Q728263,Birger Sjöberg,20
http://www.wikidata.org/entity/Q961575,Johan Agrell,20
http://www.wikidata.org/entity/Q1033656,Hans Alfredson,20
http://www.wikidata.org/entity/Q1369213,Roger Pontare,20
http://www.wikidata.org/entity/Q22704146,Wiktoria Johansson,20
http://www.wikidata.org/entity/Q1360483,Sven-Bertil Taube,20
http://www.wikidata.org/entity/Q2120765,Svante Thuresson,20
http://www.wikidata.org/entity/Q28843672,Felix Sandman,20
http://www.wikidata.org/entity/Q1143521,Cult of Luna,19
http://www.wikidata.org/entity/Q559975,Daniel Gildenlöw,19
http://www.wikidata.org/entity/Q462879,Alice Tegnér,19
http://www.wikidata.org/entity/Q946885,Magnus Uggla,19
http://www.wikidata.org/entity/Q361622,Adolf Fredrik Lindblad,19
http://www.wikidata.org/entity/Q364533,Adolf Wiklund,19
http://www.wikidata.org/entity/Q446668,Naima Wifstrand,19
http://www.wikidata.org/entity/Q2916576,Malin Berggren,19
http://www.wikidata.org/entity/Q61751638,Einár,19
http://www.wikidata.org/entity/Q968672,Lars-Erik Larsson,19
http://www.wikidata.org/entity/Q1208405,Karl-Birger Blomdahl,19
http://www.wikidata.org/entity/Q15731549,Ace Wilder,19
http://www.wikidata.org/entity/Q269242,Elisabeth Söderström,19
http://www.wikidata.org/entity/Q658779,Nina Stemme,19
http://www.wikidata.org/entity/Q4964372,Magna Lykseth-Skogman,19
http://www.wikidata.org/entity/Q1355965,Johan Olof Wallin,19
http://www.wikidata.org/entity/Q333297,Frans Michael Franzén,19
http://www.wikidata.org/entity/Q1648800,Daniel Erlandsson,19
http://www.wikidata.org/entity/Q533137,Jon Nödtveidt,19
http://www.wikidata.org/entity/Q240745,Ana Johnsson,19
http://www.wikidata.org/entity/Q271486,Sandra Oxenryd,19
http://www.wikidata.org/entity/Q289903,Marie Bergman,19
http://www.wikidata.org/entity/Q503962,Marcus Schenkenberg,19
http://www.wikidata.org/entity/Q541624,Ola Svensson,19
http://www.wikidata.org/entity/Q939036,Martin Stenmarck,19
http://www.wikidata.org/entity/Q3544489,Lars Göran Petrov,19
http://www.wikidata.org/entity/Q4976035,Elize Ryd,19
http://www.wikidata.org/entity/Q133861231,Felicia Eriksson,19
http://www.wikidata.org/entity/Q360781,Peter Iwers,19
http://www.wikidata.org/entity/Q741642,Mic Michaeli,19
http://www.wikidata.org/entity/Q363596,Tim Sköld,18
http://www.wikidata.org/entity/Q1801449,Sharlee D'Angelo,18
http://www.wikidata.org/entity/Q248592,Sarah Dawn Finer,18
http://www.wikidata.org/entity/Q459782,Bosson,18
http://www.wikidata.org/entity/Q289555,Östen Warnerbring,18
http://www.wikidata.org/entity/Q554657,The Tallest Man on Earth,18
http://www.wikidata.org/entity/Q389066,Jan Johansson,18
http://www.wikidata.org/entity/Q709944,Juhan Aavik,18
http://www.wikidata.org/entity/Q4934825,Sonja Aldén,18
http://www.wikidata.org/entity/Q1077383,Ola Salo,18
http://www.wikidata.org/entity/Q1779007,Daniel Svensson,18
http://www.wikidata.org/entity/Q468134,Helen Sjöholm,18
http://www.wikidata.org/entity/Q679610,Ian Haugland,18
http://www.wikidata.org/entity/Q2846128,Anders Johansson,18
http://www.wikidata.org/entity/Q715605,Kenny Bräck,18
http://www.wikidata.org/entity/Q2480392,Kee Marcello,18
http://www.wikidata.org/entity/Q450305,Leila K,18
http://www.wikidata.org/entity/Q462273,Inga Gentzel,18
http://www.wikidata.org/entity/Q442863,Viktoria Tolstoy,18
http://www.wikidata.org/entity/Q941210,Pernilla Wahlgren,18
http://www.wikidata.org/entity/Q271558,Linda Sundblad,17
http://www.wikidata.org/entity/Q271813,Elisabeth Olin,17
http://www.wikidata.org/entity/Q1354583,Ulrik Munther,17
http://www.wikidata.org/entity/Q1688111,Lasse Holm,17
http://www.wikidata.org/entity/Q498599,Andreas Johnson,17
http://www.wikidata.org/entity/Q507959,Fredrik Thordendal,17
http://www.wikidata.org/entity/Q1288067,John Martin,17
http://www.wikidata.org/entity/Q2711746,Tomas Lindberg,17
http://www.wikidata.org/entity/Q539427,Johann Jacob Bach,17
http://www.wikidata.org/entity/Q3040442,Thomas G:son,17
http://www.wikidata.org/entity/Q2741243,Melissa Horn,17
http://www.wikidata.org/entity/Q767237,Armas Järnefelt,17
http://www.wikidata.org/entity/Q786825,Tor Aulin,17
http://www.wikidata.org/entity/Q4952639,Mariette Hansson,17
http://www.wikidata.org/entity/Q1080849,Christian Lindberg,17
http://www.wikidata.org/entity/Q1117342,Ture Rangström,17
http://www.wikidata.org/entity/Q16761673,Seinabo Sey,17
http://www.wikidata.org/entity/Q2345037,Andy La Rocque,17
http://www.wikidata.org/entity/Q1351264,Eric Ericson,17
http://www.wikidata.org/entity/Q462191,Niklas Sundin,17
http://www.wikidata.org/entity/Q265956,Velvet,17
http://www.wikidata.org/entity/Q271412,Amanda Jenssen,17
http://www.wikidata.org/entity/Q453482,Sylvia Vrethammar,17
http://www.wikidata.org/entity/Q460935,Maj-Britt Nilsson,17
http://www.wikidata.org/entity/Q608571,Claes-Göran Hederström,17
http://www.wikidata.org/entity/Q950117,Magnus Carlsson,17
http://www.wikidata.org/entity/Q1067321,Nils Poppe,17
http://www.wikidata.org/entity/Q2486389,Johan Hegg,17
http://www.wikidata.org/entity/Q6058727,Adam Pålsson,17
http://www.wikidata.org/entity/Q453147,Håkan Hardenberger,17
http://www.wikidata.org/entity/Q266549,iamamiwhoami,16
http://www.wikidata.org/entity/Q268904,Titiyo,16
http://www.wikidata.org/entity/Q2355637,Jonas Renkse,16
http://www.wikidata.org/entity/Q44828,Timbuktu,16
http://www.wikidata.org/entity/Q127340,Miss Li,16
http://www.wikidata.org/entity/Q725351,John Levén,16
http://www.wikidata.org/entity/Q242029,Lamberto Gardelli,16
http://www.wikidata.org/entity/Q297835,Sophie Zelmani,16
http://www.wikidata.org/entity/Q712236,Roine Stolt,16
http://www.wikidata.org/entity/Q713270,Ulf Lundell,16
http://www.wikidata.org/entity/Q861420,Christofer Johnsson,16
http://www.wikidata.org/entity/Q451402,Valborg Aulin,16
http://www.wikidata.org/entity/Q1601889,Helena Josefsson,16
http://www.wikidata.org/entity/Q1922785,Nanne Grönvall,16
http://www.wikidata.org/entity/Q2427845,Björn Afzelius,16
http://www.wikidata.org/entity/Q1938118,Miriam Bryant,16
http://www.wikidata.org/entity/Q526545,Dan Swanö,16
http://www.wikidata.org/entity/Q2617377,Jonna Lee,16
http://www.wikidata.org/entity/Q2642427,Albert Engström,16
http://www.wikidata.org/entity/Q2656667,Ulf Ekberg,16
http://www.wikidata.org/entity/Q959391,Hilding Rosenberg,16
http://www.wikidata.org/entity/Q2089260,Adrian Erlandsson,16
http://www.wikidata.org/entity/Q1384083,Richard Dybeck,16
http://www.wikidata.org/entity/Q1384492,Lars Winnerbäck,16
http://www.wikidata.org/entity/Q1388588,Gunnar Wennerberg,16
http://www.wikidata.org/entity/Q1236566,Robert Wells,16
http://www.wikidata.org/entity/Q2014441,Peter Lindgren,16
http://www.wikidata.org/entity/Q720741,Georg Ericson,16
http://www.wikidata.org/entity/Q28531431,Faia Younan,16
http://www.wikidata.org/entity/Q4962829,Berit Lindholm,16
http://www.wikidata.org/entity/Q562541,Ola Brunkert,16
http://www.wikidata.org/entity/Q440805,Christopher Amott,16
http://www.wikidata.org/entity/Q966593,Fredrik Åkesson,16
http://www.wikidata.org/entity/Q248575,Gina Dirawi,16
http://www.wikidata.org/entity/Q455839,Camilla Henemark,16
http://www.wikidata.org/entity/Q441279,Pandora,16
http://www.wikidata.org/entity/Q1344704,Jonny Jakobsen,16
http://www.wikidata.org/entity/Q3437839,Bengt Djurberg,16
http://www.wikidata.org/entity/Q4951978,Clara Hagman,16
http://www.wikidata.org/entity/Q4941990,Sickan Carlsson,16
http://www.wikidata.org/entity/Q78938,Wilma Neruda,16
http://www.wikidata.org/entity/Q272282,Stina Nordenstam,15
http://www.wikidata.org/entity/Q273946,Alina Devecerski,15
http://www.wikidata.org/entity/Q704992,Ludvig Norman,15
http://www.wikidata.org/entity/Q202242,Emma Härdelin,15
http://www.wikidata.org/entity/Q261641,Adam Beyer,15
http://www.wikidata.org/entity/Q273661,Amanda Maier-Röntgen,15
http://www.wikidata.org/entity/Q981785,Jonas Berggren,15
http://www.wikidata.org/entity/Q818046,Benny Borg,15
http://www.wikidata.org/entity/Q1040407,Stig Olin,15
http://www.wikidata.org/entity/Q724956,Jens Lekman,15
http://www.wikidata.org/entity/Q22082517,Molly Nilsson,15
http://www.wikidata.org/entity/Q1505766,Georg Riedel,15
http://www.wikidata.org/entity/Q1378879,Povel Ramel,15
http://www.wikidata.org/entity/Q1390886,Joakim Berg,15
http://www.wikidata.org/entity/Q4942276,Cazzi Opeia,15
http://www.wikidata.org/entity/Q1348163,Erland von Koch,15
http://www.wikidata.org/entity/Q22278840,LÉON,15
http://www.wikidata.org/entity/Q2660424,Otto Olsson,15
http://www.wikidata.org/entity/Q400094,Otto Knows,15
http://www.wikidata.org/entity/Q1796695,Ellen Gulbranson,15
http://www.wikidata.org/entity/Q2708137,Sigrid Arnoldson,15
http://www.wikidata.org/entity/Q137445,Tomas Haake,15
http://www.wikidata.org/entity/Q2599500,Maja Ivarsson,15
http://www.wikidata.org/entity/Q273643,Jessica Folcker,15
http://www.wikidata.org/entity/Q449563,Efva Attling,15
http://www.wikidata.org/entity/Q452895,Kristina Hautala,15
http://www.wikidata.org/entity/Q431341,Anita Lindblom,15
http://www.wikidata.org/entity/Q728985,Jan Malmsjö,15
http://www.wikidata.org/entity/Q767041,Peter Jöback,15
http://www.wikidata.org/entity/Q915840,Sigge Fürst,15
http://www.wikidata.org/entity/Q1731248,Karl Gerhard,15
http://www.wikidata.org/entity/Q2074169,Tommy Karevik,15
http://www.wikidata.org/entity/Q2119597,Jan Johansen,15
http://www.wikidata.org/entity/Q4963919,Regina Lund,15
http://www.wikidata.org/entity/Q2023775,Tomas Riad,15
http://www.wikidata.org/entity/Q1458248,The Poodles,14
http://www.wikidata.org/entity/Q23007299,Wintergatan,14
http://www.wikidata.org/entity/Q372570,Denniz Pop,14
http://www.wikidata.org/entity/Q271602,Anna Ternheim,14
http://www.wikidata.org/entity/Q706560,Beppe Wolgers,14
http://www.wikidata.org/entity/Q525152,Salem Al Fakir,14
http://www.wikidata.org/entity/Q1082262,Andreas Kleerup,14
http://www.wikidata.org/entity/Q383821,"Janne ""Loffe"" Carlsson",14
http://www.wikidata.org/entity/Q464573,Johann Christian Friedrich Haeffner,14
http://www.wikidata.org/entity/Q2026020,Andreas Carlsson,14
http://www.wikidata.org/entity/Q2137203,Rebecca Zadig,14
http://www.wikidata.org/entity/Q2578127,Snowy Shaw,14
http://www.wikidata.org/entity/Q532510,Natanael Berg,14
http://www.wikidata.org/entity/Q16946297,Silvana Imam,14
http://www.wikidata.org/entity/Q710593,Otto Lindblad,14
http://www.wikidata.org/entity/Q729770,Lars Danielsson,14
http://www.wikidata.org/entity/Q4970416,Snoh Aalegra,14
http://www.wikidata.org/entity/Q84323645,Ecco2K,14
http://www.wikidata.org/entity/Q669711,Gustaf Aulén,14
http://www.wikidata.org/entity/Q1157173,Dag Wirén,14
http://www.wikidata.org/entity/Q1384731,Michael B. Tretow,14
http://www.wikidata.org/entity/Q15080541,Elliphant,14
http://www.wikidata.org/entity/Q1893049,Bo Nilsson,14
http://www.wikidata.org/entity/Q1985895,Niclas Engelin,14
http://www.wikidata.org/entity/Q26835667,Tommy Johansson,14
http://www.wikidata.org/entity/Q254518,Astrid Varnay,14
http://www.wikidata.org/entity/Q29641372,Tobias Forge,14
http://www.wikidata.org/entity/Q2857741,Edda Magnason,14
http://www.wikidata.org/entity/Q4573835,Sven Salén,14
http://www.wikidata.org/entity/Q692240,Arne Domnérus,14
http://www.wikidata.org/entity/Q3180104,Niklas Kvarforth,14
http://www.wikidata.org/entity/Q456231,Tess Merkel,14
