person,personLabel,sitelinks
http://www.wikidata.org/entity/Q165866,Ahmed Yasin,19
http://www.wikidata.org/entity/Q691136,Niklas Hult,19
http://www.wikidata.org/entity/Q436093,Anna Swenn-Larsson,19
http://www.wikidata.org/entity/Q439308,Moa Hjelmer,19
http://www.wikidata.org/entity/Q445725,Lina Leandersson,19
http://www.wikidata.org/entity/Q456314,Antonia Göransson,19
http://www.wikidata.org/entity/Q460622,Henna Johansson,19
http://www.wikidata.org/entity/Q1859905,Marcus Johansson,19
http://www.wikidata.org/entity/Q506686,Mattias Zachrisson,19
http://www.wikidata.org/entity/Q516151,Tobias Ludvigsson,19
http://www.wikidata.org/entity/Q929159,Erik Karlsson,19
http://www.wikidata.org/entity/Q3136604,Mikael Dyrestam,19
http://www.wikidata.org/entity/Q5371633,Emilia Brodin,19
http://www.wikidata.org/entity/Q5237638,David Moberg Karlsson,19
http://www.wikidata.org/entity/Q5901753,Kristian Karlsson,19
http://www.wikidata.org/entity/Q9135889,Simon Gustafsson,19
http://www.wikidata.org/entity/Q15641034,Jesper Tjäder,19
http://www.wikidata.org/entity/Q17405398,Elias Ymer,19
http://www.wikidata.org/entity/Q18196418,Adam Lundqvist,19
http://www.wikidata.org/entity/Q16633101,Alexander Jeremejeff,19
http://www.wikidata.org/entity/Q19508502,Hilda Carlén,19
http://www.wikidata.org/entity/Q28057083,Elias Pettersson,19
http://www.wikidata.org/entity/Q61751638,Einár,19
http://www.wikidata.org/entity/Q85767808,Hussein Ali,19
http://www.wikidata.org/entity/Q103979811,Yasin Ayari,19
http://www.wikidata.org/entity/Q107485012,Williot Swedberg,19
http://www.wikidata.org/entity/Q106239013,Prins Julian,19
http://www.wikidata.org/entity/Q115194574,Benjamin Tahirović,19
http://www.wikidata.org/entity/Q338381,Serge-Junior Martinsson Ngouali,18
http://www.wikidata.org/entity/Q962502,Joakim Nordström,18
http://www.wikidata.org/entity/Q590433,Anton Hysén,18
http://www.wikidata.org/entity/Q1334371,Magnus Eriksson,18
http://www.wikidata.org/entity/Q1859388,Mika Zibanejad,18
http://www.wikidata.org/entity/Q3050933,Elias Lindholm,18
http://www.wikidata.org/entity/Q3062859,Mattias Ekholm,18
http://www.wikidata.org/entity/Q4973901,Julia Ragnarsson,18
http://www.wikidata.org/entity/Q5996768,Marcus Eriksson,18
http://www.wikidata.org/entity/Q14614517,William Nylander Altelius,18
http://www.wikidata.org/entity/Q6379338,Linus Ullmark,18
http://www.wikidata.org/entity/Q16236449,Kristoffer Peterson,18
http://www.wikidata.org/entity/Q13539238,Erdal Rakip,18
http://www.wikidata.org/entity/Q13657813,Paweł Cibicki,18
http://www.wikidata.org/entity/Q13392766,Hampus Wanne,18
http://www.wikidata.org/entity/Q16945484,Jacob Rinne,18
http://www.wikidata.org/entity/Q16029847,Anton Salétros,18
http://www.wikidata.org/entity/Q17180964,Noah Sonko Sundberg,18
http://www.wikidata.org/entity/Q19759640,Joel Andersson,18
http://www.wikidata.org/entity/Q26459232,Joel Asoro,18
http://www.wikidata.org/entity/Q24955841,Emma Ribom,18
