Word,Vector
Baby Idol,-0.06562865525484085 0.08299904316663742 0.03601081669330597 0.008225440047681332 0.04219841584563255 0.02409711666405201 -0.05326298624277115 0.08318908512592316 -0.04919559136033058 0.0010725813917815685 -0.03443121910095215 -0.037550341337919235 0.014094680547714233 -0.059198491275310516 -0.006742095574736595 -0.04000525549054146 0.03289567306637764 0.0002338556369068101 -0.03249421343207359 -0.012577042914927006 -0.01213792059570551 -0.019786978140473366 -0.04707470163702965 -0.008157376199960709 0.02854163572192192 -0.030670706182718277 0.02618398703634739 -0.009107327088713646 0.013031547889113426 0.018725836649537086 0.005876318085938692 -0.0013995809713378549 0.02046659216284752 0.03694763407111168 -0.01105113048106432 -0.01552774291485548 0.022275682538747787 0.03470013290643692 -0.02952042780816555 -0.0015637812903150916 0.012475205585360527 -0.004971467889845371 -0.017817644402384758 0.22175681591033936 -0.04241737350821495 0.08285798132419586 0.030144978314638138 -0.0007369896629825234 0.0016396429855376482 -0.010264204815030098 0.007615602575242519 -0.01697254180908203 0.0009300155797973275 -0.022024014964699745 -0.0436273068189621 0.012273399159312248 0.019398845732212067 0.03931204974651337 -0.02563324198126793 -0.03945963829755783 0.00016481323109474033 -0.029705166816711426 -0.019158147275447845 -0.013129973784089088 0.02788408473134041 -0.0018248537089675665 -0.031159168109297752 0.017289772629737854 0.012134550139307976 -0.0010420499602332711 -0.04410457983613014 0.00918605923652649 0.008537905290722847 -0.05262477323412895 -0.04521578177809715 0.021078715100884438 -0.0395454540848732 0.0083165830001235 -0.032771285623311996 -0.020170411095023155 0.03196612745523453 -0.035459306091070175 0.025519700720906258 -0.03565310686826706 -0.041962455958127975 0.012962675653398037 0.004746591672301292 -0.029589172452688217 0.008472422137856483 0.04824592545628548 0.01114440243691206 0.021663187071681023 0.0049574472941458225 -0.005113481543958187 -0.050383228808641434 0.00879678875207901 -0.002783921780064702 -0.012352126650512218 -0.04129070043563843 -0.03978954255580902
fotbollskanalen,-0.03258854150772095 0.03700705245137215 0.005509482230991125 0.026451148092746735 -0.021721841767430305 -0.0013917710166424513 0.029637997969985008 -0.050011586397886276 -0.05735192447900772 -0.030723946169018745 -0.037175435572862625 -0.04145681485533714 0.09797577559947968 -0.0073136622086167336 -0.022907370701432228 -0.03551826998591423 -0.022070424631237984 0.062139831483364105 0.01664632000029087 0.02870568260550499 -0.01753821037709713 -0.003282831283286214 -0.009540400467813015 0.007603985723108053 -0.026152603328227997 -0.025668125599622726 -0.010517953895032406 -0.016282711178064346 0.014895590953528881 -0.0027622792404145002 0.01918497309088707 -0.05151768773794174 0.014008264057338238 0.025606883689761162 0.029293157160282135 0.012985809706151485 -0.0421576052904129 -0.019062217324972153 -0.026912059634923935 -0.006964155938476324 -0.010121671482920647 -0.029535086825489998 -0.00981694832444191 0.09757772833108902 -0.025892037898302078 0.007053595967590809 0.050988927483558655 0.0039884233847260475 -0.008985702879726887 -0.010738256387412548 -0.0029046142008155584 -0.006086381152272224 0.03935748338699341 -0.03161507844924927 0.018339507281780243 0.0018220795318484306 0.017591726034879684 -0.008637373335659504 0.029712578281760216 -0.0155488895252347 -0.01118636503815651 0.009626192972064018 0.002756744157522917 0.0030093404930084944 -0.0019411591347306967 -0.005416249856352806 -0.0893172100186348 -0.04536966606974602 0.018363473936915398 -0.021239478141069412 -0.021736014634370804 0.011078286916017532 0.0027314196340739727 -0.02527937851846218 -0.01665007881820202 0.025229936465620995 0.013241689652204514 0.010230827145278454 -0.027578508481383324 0.013832876458764076 0.010010896250605583 -0.020214363932609558 -0.0036318085622042418 -0.03292406350374222 -0.00521052023395896 0.029515625908970833 -0.008945143781602383 -0.006030846852809191 -0.0046461885794997215 5.07203621964436e-05 0.008010310120880604 -0.0021801614202558994 -0.023238101974129677 0.004816228058189154 0.013067858293652534 0.023271135985851288 -0.017440903931856155 -0.027792450040578842 -0.006215344183146954 -0.04169931262731552
Kristin Kaspersen,-0.0493801087141037 0.03585018590092659 0.02996397390961647 -0.0015047182096168399 -0.006899448577314615 0.046603914350271225 -0.004445311147719622 0.02699832245707512 0.034677643328905106 0.015415937639772892 -0.0010641933185979724 -0.009635476395487785 -0.008976706303656101 -0.021697547286748886 -0.00028105577803216875 -0.025525351986289024 -0.00400949502363801 0.008736650459468365 -0.024535521864891052 0.009643513709306717 0.0057082572020590305 0.030644871294498444 -0.017640629783272743 -0.012784535996615887 0.008770272135734558 0.030124567449092865 0.018513495102524757 0.026329973712563515 -0.007248051930218935 -0.01648343913257122 0.018020497635006905 -0.01212878618389368 -0.021489478647708893 0.028078224509954453 0.00021556914725806564 0.02288077026605606 0.021697115153074265 0.003164011985063553 -0.022332871332764626 0.009228531271219254 0.01591533236205578 0.008777102455496788 0.0038968189619481564 0.17085732519626617 -0.01321922056376934 0.06689131259918213 0.0028094167355448008 -0.003131141886115074 -0.00444649625569582 -0.004645065870136023 -0.02532998099923134 -0.0276788417249918 0.007560808211565018 0.022630484774708748 -0.037572991102933884 -0.005457611288875341 0.03240656852722168 0.0196464154869318 0.014091172255575657 -0.009067593142390251 -0.00948879960924387 0.00861125998198986 0.0011369131971150637 0.01361696794629097 -0.019788967445492744 -0.016892757266759872 -0.019396420568227768 -0.003518048208206892 -0.012960189953446388 0.008460071869194508 -0.0029996498487889767 0.0036228776443749666 0.05693122744560242 -0.02448774129152298 -0.017553195357322693 -0.009887417778372765 -0.020930001512169838 -0.0065880222246050835 0.0007892554276622832 -0.02478601783514023 -0.00194908760022372 0.015571794472634792 0.012038021348416805 0.009992875158786774 0.00631237355992198 0.013161521404981613 0.019063331186771393 0.020146556198596954 0.012629879638552666 0.013082941062748432 -0.00022254091163631529 0.01501914206892252 -0.017331670969724655 -0.008912645280361176 -0.009745441377162933 0.01084079034626484 0.025053072720766068 0.009968077763915062 0.0040898616425693035 -0.02431674487888813
Lee Christiernsson,0.019269874319434166 0.0013066483661532402 0.020059488713741302 0.005610918626189232 -0.003350850660353899 0.030590182170271873 -0.005118492990732193 0.013775424100458622 -0.0031236407812684774 0.019830169156193733 0.027027595788240433 -0.017119985073804855 0.0014510084874927998 -0.004899195395410061 -0.0077452934347093105 0.008537538349628448 -0.013155370019376278 0.004363385494798422 0.01226887945085764 0.0011892099864780903 -0.001489920075982809 0.011955291032791138 0.03196021914482117 0.004261103458702564 0.016493797302246094 0.005193180404603481 -0.0015797847881913185 -0.004642036277800798 -0.006713207811117172 -0.02504648268222809 0.03376120701432228 0.015534432604908943 0.011604181490838528 -0.003202789928764105 0.009743254631757736 0.025877181440591812 -0.005839913617819548 -0.007136507425457239 -0.003562230383977294 0.003771816147491336 -0.0115599874407053 0.015190854668617249 -0.024204019457101822 0.06502899527549744 -0.01886645331978798 0.046949636191129684 0.011446941643953323 -0.00030269939452409744 -0.01721305400133133 -0.02248082123696804 -0.02479787915945053 0.0036869903560727835 0.0004807533696293831 -0.0027566151693463326 -0.00833858922123909 -0.0212386641651392 0.006085864268243313 0.013005193322896957 -0.010007633827626705 -0.002354457974433899 -0.006977049168199301 0.046576663851737976 0.0015944617334753275 0.006310299504548311 0.007778096944093704 0.004840640351176262 0.0144762322306633 0.009693954139947891 0.008087980560958385 0.011251955293118954 0.05173078551888466 0.011586453765630722 0.03470544144511223 0.0016185815911740065 -0.023251837119460106 -0.0028375834226608276 -0.01882256381213665 -0.013173999264836311 -0.007862849161028862 0.00018600234761834145 0.001489788293838501 -0.004631952382624149 -0.008258204907178879 -0.014260385185480118 0.011217650026082993 -0.0013750884681940079 0.0059119537472724915 -0.006261986680328846 -0.0066170599311590195 -0.0018761148676276207 -0.009819697588682175 -0.004110879730433226 -0.005959769245237112 -0.010701136663556099 -0.00518705602735281 -0.015505152754485607 0.015739349648356438 -0.011942020617425442 -0.008876089006662369 0.001621518051251769
Bror Wilhelm,-0.051422666758298874 0.04286656901240349 0.03628460690379143 -0.00858087744563818 -0.004705388098955154 0.057287152856588364 -0.010280230082571507 0.05880667641758919 0.027604376897215843 0.030566692352294922 -0.02224673144519329 -0.050029899924993515 0.0054334313608706 0.020549554377794266 0.029704133048653603 -0.003363528987392783 0.011001371778547764 0.0177995003759861 -0.00391756696626544 0.018609507009387016 -0.012265492230653763 -0.0009595703450031579 0.010801737196743488 -0.03561915084719658 0.02059641107916832 0.030876828357577324 -0.023537997156381607 -0.003587448736652732 -0.019108494743704796 0.027850354090332985 0.008833329193294048 -0.030314786359667778 -0.02939099632203579 0.025555113330483437 0.0037578702904284 -0.009934142231941223 0.026723587885499 -0.021050674840807915 0.0038604456931352615 0.011508144438266754 0.00960336159914732 0.02613428235054016 0.005122763570398092 0.27363666892051697 0.06038475036621094 0.07279398292303085 -0.055726971477270126 -0.023041576147079468 -0.03456009179353714 -0.010149577632546425 -0.00725208967924118 -0.007224713452160358 -0.0011026960564777255 0.007014112081378698 -0.018315481022000313 0.0049872188828885555 0.016833027824759483 0.01713465340435505 0.013221687637269497 0.008511301130056381 -0.006773114204406738 0.01318842638283968 0.01171142514795065 -0.007241965737193823 0.0200226791203022 -0.02837999165058136 -0.01753566414117813 -0.005484698805958033 0.006376259028911591 -0.009686912409961224 -0.03381107375025749 -0.014929018914699554 0.05803671106696129 -0.014819380827248096 -0.05942878872156143 -0.03251761198043823 0.00940981786698103 -0.010141082108020782 0.016062745824456215 -0.007920957170426846 0.0407201312482357 -0.010916783474385738 0.020296288654208183 0.019929910078644753 0.0006319292006082833 -0.005110579077154398 -0.03078347258269787 -0.005065091885626316 0.019249139353632927 0.03948260471224785 -0.022426044568419456 -0.0064368159510195255 -0.07182951271533966 -0.02581154741346836 0.006949280388653278 -0.012358896434307098 0.05758170038461685 -0.001459914492443204 0.009316627867519855 -0.030781760811805725
Helan Shabani,-0.028519487008452415 0.059160564094781876 0.014330302365124226 0.02395392581820488 0.006447587627917528 0.08349529653787613 -0.06622226536273956 -0.025995949283242226 0.014017567038536072 -0.009600640274584293 -0.002333772834390402 -0.06356829404830933 -0.02601178176701069 -0.01927703432738781 -0.028734246268868446 -0.032292481511831284 0.01848692260682583 -0.027663687244057655 0.0032461739610880613 -0.024356791749596596 0.023120734840631485 0.04200800135731697 -0.024230772629380226 0.0010961570078507066 0.0357547402381897 0.002753790933638811 -0.01570865325629711 0.009937909431755543 0.006837481167167425 -0.03471764922142029 0.012258687056601048 0.010807541199028492 0.008371551521122456 -0.001830463414080441 -0.0014505902072414756 0.004696671385318041 -0.02639092691242695 -0.034688837826251984 -0.03199208527803421 -0.005018731113523245 0.02847003936767578 0.00558170210570097 0.010097610764205456 0.23188522458076477 -0.04963306710124016 0.07811527699232101 0.044829655438661575 -0.014380271546542645 0.0048962743021547794 -0.011832206510007381 0.0005834851181134582 -0.009054120630025864 0.013749085366725922 0.021129172295331955 -0.013641059398651123 0.0003269077278673649 0.008725273422896862 0.008589574135839939 -0.020737076178193092 -0.020231014117598534 -0.006216483656316996 -0.012236952781677246 0.002522193593904376 -0.0015008653281256557 0.008936630561947823 0.009312457405030727 -0.01812826283276081 0.004941258113831282 0.0022378757130354643 -0.010149144567549229 -0.02529214881360531 -0.03207185119390488 -0.006138925906270742 -0.011845986358821392 -0.027944771572947502 -0.014947159215807915 -0.024275152012705803 0.008695147931575775 -0.05475759506225586 -0.012594252824783325 -0.010158374905586243 -0.0037328465841710567 0.029341476038098335 -0.0070131137035787106 -0.031057462096214294 -0.03251530975103378 -0.019462166354060173 -0.024117300286889076 -0.02122291550040245 0.020520374178886414 -0.008552133105695248 -0.011314980685710907 0.010868915356695652 -0.0018185301451012492 -0.0022322575096040964 0.02519998513162136 0.05352311581373215 -0.0068160067312419415 -0.023711416870355606 -0.03442367911338806
Nina Rung,-0.01868835836648941 0.051088105887174606 0.0245679784566164 -0.022556530311703682 -0.03262229263782501 0.026024065911769867 -0.017854854464530945 0.010769856162369251 0.012475121766328812 0.01766810566186905 -0.018981993198394775 -0.032903898507356644 -0.012329566292464733 -0.003700027707964182 0.014589381404221058 -0.03275395929813385 0.01069135032594204 0.02301476150751114 -0.04871709272265434 0.015448711812496185 -0.017104674130678177 0.02325345389544964 0.014933512546122074 -0.031908269971609116 0.046625178307294846 0.011505266651511192 -0.0016069788252934813 0.013503048568964005 0.006281317211687565 -0.0014155262615531683 0.00459168991073966 -3.869725333061069e-05 -0.006022551562637091 0.03464125096797943 -0.018300598487257957 0.016967449337244034 0.007124348543584347 0.015272591263055801 -0.01715627685189247 -0.007749886251986027 -0.0006503984332084656 0.015040385536849499 -0.036329485476017 0.22014042735099792 -0.014650214463472366 0.05251910910010338 -0.03106609918177128 0.0005164152244105935 0.018967293202877045 -0.007976219058036804 0.020836452022194862 -0.03462177515029907 0.0011812696466222405 0.008999364450573921 -0.03743615001440048 -0.0187824796885252 0.041455090045928955 0.009394168853759766 -0.0030683681834489107 -0.01274428702890873 -0.02073194459080696 0.002364121377468109 0.009647026658058167 -0.0052847485058009624 0.033911727368831635 0.004006870090961456 0.007459430955350399 0.016424063593149185 -0.0031640080269426107 0.006181494798511267 -0.014218306168913841 -0.02743733860552311 0.03455522283911705 0.01561468280851841 -0.0292422566562891 -0.01655925065279007 -0.032456088811159134 -0.026609260588884354 -0.020276281982660294 0.0010814652778208256 0.009278802201151848 0.0014482011320069432 -0.005392149556428194 -0.028823496773838997 0.0017328188987448812 -0.005100725218653679 -0.02437465451657772 0.005774335004389286 0.009058386087417603 0.006892737932503223 0.0008926719310693443 0.01914171315729618 -0.015816455706954002 0.0002007721341215074 0.03515239804983139 0.0059297289699316025 0.043913427740335464 0.0016995554324239492 0.024561816826462746 -0.006217661779373884
SVT Sport,-0.012500456534326077 0.07169215381145477 0.044762276113033295 -0.018718581646680832 0.038531042635440826 -0.02845199778676033 -0.012036630883812904 -0.009823199361562729 0.01036540325731039 -0.0065469383262097836 -0.04808734357357025 -0.04089032858610153 0.07910723984241486 -0.019710537046194077 -0.03615032881498337 -0.016632456332445145 0.05683848261833191 0.012358346953988075 0.025499584153294563 -0.01917126402258873 -0.04440019652247429 0.03785635158419609 -0.01111205480992794 -0.01736302301287651 0.018546361476182938 -0.021467257291078568 -0.009952372871339321 -0.02804938703775406 0.030577128753066063 0.03367515280842781 0.006586712785065174 0.008395363576710224 0.025720270350575447 0.050138141959905624 -0.003945064730942249 -0.007263305597007275 -0.008158265613019466 0.00036051872302778065 -0.05962348356842995 0.012202579528093338 -0.02536935545504093 0.01068322267383337 0.009320851415395737 0.17881742119789124 0.006890098564326763 0.038604434579610825 0.015351884998381138 0.012455406598746777 0.028795287013053894 -0.027452252805233 -0.02384873479604721 -0.021098487079143524 0.0017017765203490853 -0.028126796707510948 -0.0009234808967448771 0.0012715773191303015 -0.0023287893272936344 0.004295279271900654 -0.0012029920471832156 0.0119611332193017 -0.03351149708032608 -0.004040703643113375 -0.010601812042295933 0.014772100374102592 0.004933557473123074 0.004935026168823242 0.0012656450271606445 -0.01734423264861107 -0.014007659628987312 0.013008905574679375 -0.010051759891211987 -0.013886924833059311 0.00323693361133337 -0.0347556546330452 -0.023740969598293304 0.0021651186980307102 -0.04610784724354744 0.011042903177440166 -0.0019301092252135277 0.02678532712161541 0.017543863505125046 -0.02493293210864067 0.01145407184958458 -0.04138946533203125 -0.03396257013082504 0.008886816911399364 0.014516332186758518 0.000494934618473053 -0.013142094947397709 0.013960923068225384 0.031876854598522186 -0.008529952727258205 -0.010467723943293095 -0.023592911660671234 -0.03486611694097519 -0.0046358234249055386 -0.016435466706752777 -0.00015342338883783668 -0.024870404973626137 -0.041049547493457794
Samir Badran,-0.035051360726356506 0.06038618087768555 0.001566747552715242 0.03608798235654831 -0.024917418137192726 0.024639640003442764 -0.008098669350147247 -0.002406394574791193 0.007727615535259247 -0.015329155139625072 -0.04996510222554207 -0.0331132598221302 0.03402560576796532 -0.025327036157250404 -0.0038392290007323027 -0.0008700639009475708 -0.0026078938972204924 -0.0033486292231827974 -0.02345108613371849 -0.015603962354362011 -0.010197453200817108 0.047791630029678345 -0.020457088947296143 -0.005040684249252081 -0.0018648073310032487 -0.0069482596591115 -0.026550499722361565 -0.013487936928868294 0.003593006869778037 -0.01897170953452587 0.018803253769874573 0.0048103779554367065 -0.001220384961925447 -0.0137467160820961 0.027582673355937004 -0.006517420988529921 0.03719289228320122 -0.02295910008251667 -0.03172564506530762 -0.019261786714196205 0.009988448582589626 -0.009672497399151325 0.01596973091363907 0.21386535465717316 -0.01596432738006115 0.09258034825325012 -0.015415914356708527 0.0029389834962785244 -0.029598528519272804 -0.014199492521584034 0.017778707668185234 -0.02328464202582836 0.031063472852110863 -0.01650245115160942 -0.01215970329940319 0.00398035254329443 0.013681292533874512 -0.026667604222893715 -0.010661699809134007 -0.02793048322200775 -0.013770348392426968 0.001567619270645082 0.012309336103498936 -0.0038692038506269455 0.0060577960684895515 -0.012004879303276539 0.0009606272215023637 -0.02061072364449501 -0.03246358036994934 0.006916900631040335 0.00929870456457138 -0.0052835033275187016 0.0395338274538517 -0.005979299079626799 -0.0538191981613636 -0.01904144324362278 0.01024049986153841 0.01342006679624319 0.0017405443359166384 -0.026437634602189064 0.010988151654601097 -0.013828888535499573 0.014628008008003235 -0.021412372589111328 0.014634864404797554 -0.009756955318152905 -0.02258717082440853 -0.009223579429090023 0.0076421829871833324 0.05260079726576805 -0.011025551706552505 0.03683677688241005 -0.01920987479388714 -0.013261131010949612 -0.007454824633896351 0.018542174249887466 0.02490660361945629 0.02378140762448311 -0.01602754555642605 -0.023194080218672752
Marie Mandelmann,-0.03462986648082733 0.02624577097594738 0.03193642571568489 -0.0005696980515494943 0.002739687217399478 0.03795258700847626 -0.027199558913707733 0.03629753738641739 0.001597392139956355 0.009410638362169266 -0.031814541667699814 -0.04978257045149803 -0.013002222403883934 -0.03247445821762085 0.010436906479299068 -0.02115556038916111 -0.00588368671014905 0.012003648094832897 -0.009555119089782238 -0.006803752388805151 0.01930689625442028 0.016149459406733513 0.00912026222795248 -0.033939775079488754 0.012725155800580978 -0.013497758656740189 -0.0009946419158950448 0.025618689134716988 -0.00858596246689558 0.00016396494174841791 0.014061013236641884 -0.006555985193699598 0.0025466857478022575 0.015086445957422256 0.00990160834044218 0.015377776697278023 0.0290636345744133 0.002474149689078331 -0.037604883313179016 -0.013898985460400581 0.02420685440301895 0.0001630553015274927 -0.009404189884662628 0.157496377825737 -0.010701877065002918 0.06988038122653961 0.009530046954751015 0.0011297145392745733 0.004887604620307684 -0.021822921931743622 -0.02525847777724266 -0.019734440371394157 -0.015270781703293324 0.006205166224390268 -0.008646080270409584 -0.012557970359921455 -0.007247131783515215 0.036671899259090424 -0.004264120943844318 0.014389228075742722 -0.004829603713005781 0.007210397161543369 0.03761911019682884 0.005784207489341497 0.004647612571716309 -0.003732942743226886 -0.0030644009821116924 0.013652228750288486 0.005354865454137325 -0.005229760892689228 -0.031014256179332733 0.005312710534781218 0.039249684661626816 -0.003176664700731635 -0.011195049621164799 -0.017259839922189713 0.01238407101482153 -0.027283839881420135 0.014157266356050968 -0.011366097256541252 0.008966471999883652 0.011379675939679146 -0.001486644265241921 0.01915144734084606 -0.018433336168527603 -0.002281077206134796 0.0065657044760882854 0.016790149733424187 0.018548056483268738 0.029361948370933533 0.0028838261496275663 0.01710096374154091 -0.0022881855256855488 -0.02037377469241619 0.005422689951956272 -0.035376761108636856 0.005135823972523212 0.012492849491536617 0.001558988238684833 -0.0250244103372097
Niklas Stromstedt,-0.07317803800106049 0.04383217543363571 0.030747393146157265 -0.012111195363104343 0.012996233068406582 0.02356797643005848 0.006378541700541973 0.02407742850482464 0.006535423453897238 0.02816513180732727 0.0062660654075443745 -0.038492683321237564 0.002835882129147649 -0.020813029259443283 0.014104468747973442 -0.0015639809425920248 -0.006850633304566145 -0.005159681662917137 -0.021055545657873154 0.0104493023827672 -0.013441886752843857 0.02578391507267952 -0.0041719283908605576 -0.009495935402810574 -0.0027836200315505266 0.033308759331703186 -0.01120631955564022 0.007728490047156811 0.005662144627422094 0.009332748129963875 0.008896414190530777 -0.04491177201271057 0.013514350168406963 0.02716047689318657 0.0027792355976998806 0.011936584487557411 0.019068101420998573 -0.023882834240794182 -0.011837566271424294 0.008090198040008545 -0.004430573899298906 -0.007229165639728308 0.016279319301247597 0.1812778115272522 -0.015473558567464352 0.04118240624666214 -0.012105005793273449 0.007807839196175337 -0.0228278748691082 0.004219335038214922 -0.011338726617395878 0.0019757195841521025 0.0006421699072234333 -0.006540378089994192 0.011854901909828186 -0.014928671531379223 -0.004464156460016966 0.015063341706991196 -0.0235942043364048 0.010514214634895325 -0.012229363434016705 0.026718227192759514 0.0008727215463295579 0.012025580741465092 0.0035772286355495453 0.010751963593065739 0.0054069035686552525 0.001823555794544518 -0.0027812421321868896 0.02148856781423092 -0.001934779342263937 -0.011676723137497902 0.03968450427055359 0.011177447624504566 -0.05620323866605759 -0.019740266725420952 -0.005898903589695692 -0.030345873907208443 -0.01330987922847271 0.0016204899875447154 0.01954645663499832 -0.0020092884078621864 0.01083917636424303 0.012876884080469608 0.003593935864046216 -0.023477599024772644 0.0047162543050944805 0.00602689990773797 0.020521419122815132 0.005862978287041187 -0.010740521363914013 0.001880682073533535 -0.03694416210055351 -0.015542106702923775 0.007477775681763887 0.005603780038654804 0.041815269738435745 -0.026224331930279732 0.014743221923708916 -0.02272941917181015
LIAMOO,-0.05815315619111061 -0.04819647967815399 0.022009598091244698 0.021150343120098114 0.009786187671124935 0.0410255566239357 0.006376261822879314 -0.0034366026520729065 -0.01852576807141304 0.007186794187873602 0.028146784752607346 -0.03784133866429329 0.02457563765347004 -0.019240450114011765 0.032240983098745346 0.011888260953128338 -0.050461187958717346 0.009034384042024612 -0.041636765003204346 0.015978699550032616 -0.005520045291632414 -0.02293992042541504 -0.03150048106908798 -0.017785128206014633 0.012641588225960732 -0.004946745932102203 -0.008053181692957878 0.02155381441116333 -0.025691920891404152 -0.01002761535346508 0.036712996661663055 0.0007017666939646006 -0.07178983092308044 0.0562557689845562 0.007679708302021027 -0.004350656643509865 0.038429342210292816 -0.02837284281849861 -0.00480379443615675 -0.0019907800015062094 0.006488756742328405 0.018541324883699417 -0.010190222412347794 0.022055145353078842 -0.010941661894321442 0.05225127935409546 -0.0018288935534656048 0.027731485664844513 0.012765619903802872 -0.022521955892443657 -0.02561889961361885 -0.030502280220389366 -0.024121681228280067 -0.003208354115486145 -0.010816861875355244 0.019488297402858734 0.0022311776410788298 8.42366716824472e-05 0.010118674486875534 -0.0020746258087456226 -0.008027343079447746 0.008315161801874638 -0.0003886803751811385 0.07136435806751251 0.055096350610256195 -0.00251472694799304 -0.02696065790951252 0.0028176920022815466 0.05791247636079788 0.05449295789003372 0.05356069281697273 0.030390607193112373 0.009150274097919464 0.016690978780388832 -0.009891962632536888 -0.048417478799819946 0.02799345552921295 0.0015719328075647354 -0.011174511164426804 -0.013027379289269447 0.02935968153178692 -0.004943465813994408 -0.02094985917210579 -0.0653422474861145 -0.0004387502558529377 -0.0024076388217508793 -0.011600062251091003 0.04502128064632416 0.01662074401974678 0.026484290137887 -0.02838241308927536 0.017557106912136078 0.009812075644731522 0.01718355342745781 0.03339948132634163 -0.03794097155332565 -0.00014543827273882926 -0.03556029498577118 0.007007162552326918 -0.008198443800210953
Sara Grimlund Goldensohn,0.00611558323726058 0.05412474274635315 0.029675256460905075 -0.0052263569086790085 -0.006587631534785032 0.029185667634010315 -0.005315062589943409 -0.0015521025052294135 0.002745135920122266 0.02126053161919117 -0.010483833029866219 -0.012360463850200176 -0.009746025316417217 -0.02864309772849083 0.006885870359838009 -0.018952297046780586 -0.00697385473176837 -0.009294946677982807 -0.010408913716673851 0.0061822012066841125 0.000921198632568121 0.012950019910931587 0.019859541207551956 -0.03365154191851616 0.004306836519390345 -0.017221631482243538 -0.011868764646351337 0.01187177188694477 0.018409505486488342 -0.006256064400076866 -0.002879564883187413 0.008469680324196815 -0.006100475788116455 0.015022330917418003 -0.00899297185242176 -0.0018477840349078178 0.00284947594627738 -0.002268363954499364 -0.03852762281894684 0.00030359355150721967 -0.001196564408019185 0.014560564421117306 0.007917906157672405 0.1800178438425064 0.020792601630091667 0.03923860937356949 0.00787271000444889 -0.008530556224286556 0.014265330508351326 -0.015162947587668896 0.003354914952069521 -0.014018514193594456 0.004197411239147186 0.01788746379315853 -0.009200284257531166 0.02290954440832138 0.007959017530083656 0.012896801345050335 -0.00033641624031588435 -0.009645515121519566 -0.016285983845591545 -0.007756352424621582 0.01955058053135872 -0.003538935910910368 0.006149777211248875 0.0025649936869740486 -0.0016685142181813717 -0.009111763909459114 0.00515024783089757 -0.01598339155316353 -0.007503741420805454 -0.00787318218499422 0.017263181507587433 -0.02766779437661171 -0.005350753664970398 -0.004976923111826181 -0.04997057467699051 -0.013140459544956684 0.005957366432994604 0.023570947349071503 0.004216161090880632 -0.007502291351556778 0.008336215279996395 -0.02768038958311081 -0.0016851264517754316 -0.004135058727115393 -0.017497647553682327 -0.007053656037896872 0.015331825241446495 0.007990824058651924 0.012066702358424664 -0.02189789153635502 -0.01812661811709404 0.011676838621497154 0.017282841727137566 -0.018741056323051453 0.02276943065226078 0.008681564591825008 0.007813094183802605 0.009396434761583805
Tilda Tornqvist,-0.0118976766243577 0.0654468908905983 0.01505312044173479 0.015671394765377045 -0.003044925630092621 0.045527078211307526 -0.009585956111550331 0.05984608083963394 0.005759799852967262 0.00790854450315237 0.011977264657616615 -0.04571498557925224 0.01317047793418169 0.0022735027596354485 0.008497676812112331 -0.011339643970131874 -0.006986203137785196 0.007142816670238972 -0.03625498339533806 -0.00317703140899539 -0.013974144123494625 0.014999262988567352 -0.009607448242604733 -0.005528256297111511 0.019371099770069122 0.0051164766773581505 -0.004276140592992306 0.0032453055027872324 0.042452726513147354 -0.013235652819275856 0.0037375721149146557 0.00016354970284737647 0.005228844471275806 0.04437410831451416 -0.0009824393782764673 -0.013773204758763313 0.010479047894477844 -0.0012107791844755411 -0.014130865223705769 0.002377440920099616 -0.012213909067213535 0.008709303103387356 -0.013970883563160896 0.14424577355384827 -0.06424717605113983 0.05651647225022316 0.014650641940534115 -0.014616073109209538 0.0001133519908762537 0.004685216583311558 0.0007517212070524693 -0.01334911398589611 0.018770702183246613 0.0015239636413753033 -0.010833042673766613 -0.015320970676839352 0.020265180617570877 -0.014541210606694221 -0.009152689017355442 -0.0003072688414249569 0.016868779435753822 -0.006264070048928261 -0.00805716123431921 -0.008247478865087032 -0.004707785323262215 -0.007359241135418415 -0.0009159935871139169 0.008992776274681091 -0.028468362987041473 0.01092412881553173 -0.002639185171574354 -0.00890988577157259 0.03143259137868881 0.02450789511203766 -0.021929554641246796 -0.040373895317316055 -0.030484255403280258 -0.01729220151901245 -0.01681709848344326 -0.010146685875952244 0.008223227225244045 -0.0026331692934036255 -0.010597108863294125 -0.009761360473930836 0.0029118743259459734 -0.013811630196869373 -0.002823031507432461 -0.009549661539494991 -0.004857420921325684 0.017658798024058342 -0.03360565006732941 -0.012545730918645859 -0.002929017646238208 -0.016556615009903908 0.019200479611754417 0.002889578230679035 0.04083791747689247 -0.01440304983407259 -0.015308267436921597 -0.019200997427105904
